season,match,innings,over,ball,batting_team,bowling_team,venue,batter,bowler,outcome,extra,position,wickets_before,runs_before,target
0,0,1,0,0,1,3,3,24,68,1,0,0,0,0,0
0,0,1,0,1,1,3,3,21,68,0,0,1,0,1,0
0,0,1,0,2,1,3,3,21,68,0,0,1,0,1,0
0,0,1,0,3,1,3,3,21,68,0,0,1,0,1,0
0,0,1,0,4,1,3,3,21,68,0,0,1,0,1,0
0,0,1,0,5,1,3,3,21,68,0,0,1,0,1,0
0,0,1,1,0,1,3,3,24,67,0,0,0,0,1,0
0,0,1,1,1,1,3,3,24,67,6,0,0,0,1,0
0,0,1,1,2,1,3,3,24,67,1,0,0,0,7,0
0,0,1,1,3,1,3,3,21,67,0,0,1,0,8,0
0,0,1,1,4,1,3,3,21,67,1,0,1,0,8,0
0,0,1,1,5,1,3,3,24,67,0,0,0,0,9,0
0,0,1,2,0,1,3,3,21,70,1,0,1,0,9,0
0,0,1,2,1,1,3,3,24,70,0,0,0,0,10,0
0,0,1,2,2,1,3,3,24,70,6,0,0,0,10,0
0,0,1,2,3,1,3,3,24,70,6,0,0,0,16,0
0,0,1,2,4,1,3,3,24,70,4,0,0,0,22,0
0,0,1,2,5,1,3,3,24,70,6,0,0,0,26,0
0,0,1,3,0,1,3,3,21,65,1,0,1,0,32,0
0,0,1,3,1,1,3,3,24,65,6,0,0,0,33,0
0,0,1,3,2,1,3,3,24,65,0,0,0,0,39,0
0,0,1,3,3,1,3,3,24,65,0,0,0,0,39,0
0,0,1,3,4,1,3,3,24,65,1,0,0,0,39,0
0,0,1,3,5,1,3,3,21,65,4,0,1,0,40,0
0,0,1,4,0,1,3,3,24,63,0,1,0,0,44,0
0,0,1,4,1,1,3,3,24,63,1,0,0,0,45,0
0,0,1,4,2,1,3,3,21,63,4,1,1,0,46,0
0,0,1,4,3,1,3,3,21,63,W,0,1,0,51,0
0,0,1,4,4,1,3,3,18,63,1,0,2,1,51,0
0,0,1,4,5,1,3,3,24,63,1,0,0,1,52,0
0,0,1,5,0,1,3,3,24,68,0,0,0,1,53,0
0,0,1,5,1,1,3,3,24,68,0,0,0,1,53,0
0,0,1,5,2,1,3,3,24,68,1,0,0,1,53,0
0,0,1,5,3,1,3,3,18,68,0,0,2,1,54,0
0,0,1,5,4,1,3,3,18,68,0,0,2,1,54,0
0,0,1,5,5,1,3,3,18,68,1,0,2,1,54,0
0,0,1,6,0,1,3,3,18,67,1,0,2,1,55,0
0,0,1,6,1,1,3,3,24,67,2,0,0,1,56,0
0,0,1,6,2,1,3,3,24,67,6,0,0,1,58,0
0,0,1,6,3,1,3,3,24,67,0,0,0,1,64,0
0,0,1,6,4,1,3,3,24,67,1,0,0,1,64,0
0,0,1,6,5,1,3,3,18,67,1,0,2,1,65,0
0,0,1,7,0,1,3,3,18,70,1,0,2,1,66,0
0,0,1,7,1,1,3,3,24,70,1,0,0,1,67,0
0,0,1,7,2,1,3,3,18,70,4,0,2,1,68,0
0,0,1,7,3,1,3,3,18,70,1,1,2,1,72,0
0,0,1,7,4,1,3,3,24,70,1,0,0,1,74,0
0,0,1,7,5,1,3,3,18,70,4,0,2,1,75,0
0,0,1,8,0,1,3,3,24,65,1,0,0,1,79,0
0,0,1,8,1,1,3,3,18,65,1,0,2,1,80,0
0,0,1,8,2,1,3,3,24,65,1,0,0,1,81,0
0,0,1,8,3,1,3,3,18,65,1,0,2,1,82,0
0,0,1,8,4,1,3,3,24,65,4,0,0,1,83,0
0,0,1,8,5,1,3,3,24,65,W,0,0,1,87,0
0,0,1,9,0,1,3,3,18,63,1,0,2,2,87,0
0,0,1,9,1,1,3,3,20,63,1,0,3,2,88,0
0,0,1,9,2,1,3,3,18,63,1,1,2,2,89,0
0,0,1,9,3,1,3,3,20,63,0,0,3,2,91,0
0,0,1,9,4,1,3,3,20,63,1,1,3,2,91,0
0,0,1,9,5,1,3,3,18,63,1,1,2,2,93,0
0,0,1,10,0,1,3,3,18,68,0,0,2,2,95,0
0,0,1,10,1,1,3,3,18,68,1,0,2,2,95,0
0,0,1,10,2,1,3,3,20,68,W,0,3,2,96,0
0,0,1,10,3,1,3,3,19,68,1,0,4,3,96,0
0,0,1,10,4,1,3,3,18,68,1,0,2,3,97,0
0,0,1,10,5,1,3,3,19,68,0,0,4,3,98,0
0,0,1,11,0,1,3,3,18,67,6,0,2,3,98,0
0,0,1,11,1,1,3,3,18,67,0,0,2,3,104,0
0,0,1,11,2,1,3,3,18,67,1,0,2,3,104,0
0,0,1,11,3,1,3,3,19,67,1,0,4,3,105,0
0,0,1,11,4,1,3,3,18,67,6,0,2,3,106,0
0,0,1,11,5,1,3,3,18,67,0,0,2,3,112,0
0,0,1,12,0,1,3,3,19,70,1,0,4,3,112,0
