match,team,batting_slot,player,bowling_slot
0,3,0,57,-1
0,3,1,59,-1
0,3,2,55,-1
0,3,3,58,-1
0,3,4,54,-1
0,3,5,63,4
0,3,6,61,-1
0,3,7,68,0
0,3,8,67,1
0,3,9,70,2
0,3,10,65,3
0,1,0,24,-1
0,1,1,21,-1
0,1,2,18,-1
0,1,3,20,-1
0,1,4,19,-1
0,1,5,28,4
0,1,6,27,-1
0,1,7,29,0
0,1,8,33,1
0,1,9,34,2
0,1,10,35,3
1,2,0,41,-1
1,2,1,38,-1
1,2,2,36,-1
1,2,3,37,-1
1,2,4,40,-1
1,2,5,43,4
1,2,6,46,-1
1,2,7,47,0
1,2,8,48,1
1,2,9,53,2
1,2,10,51,3
1,4,0,72,-1
1,4,1,76,-1
1,4,2,77,-1
1,4,3,73,-1
1,4,4,74,-1
1,4,5,79,4
1,4,6,82,-1
1,4,7,87,0
1,4,8,84,1
1,4,9,89,2
1,4,10,85,3
2,9,0,165,-1
2,9,1,163,-1
2,9,2,164,-1
2,9,3,162,-1
2,9,4,166,-1
2,9,5,172,4
2,9,6,170,-1
2,9,7,175,0
2,9,8,177,1
2,9,9,176,2
2,9,10,179,3
2,0,0,3,-1
2,0,1,6,-1
2,0,2,0,-1
2,0,3,4,-1
2,0,4,5,-1
2,0,5,8,4
2,0,6,10,-1
2,0,7,14,0
2,0,8,13,1
2,0,9,17,2
2,0,10,15,3
3,2,0,36,-1
3,2,1,41,-1
3,2,2,39,-1
3,2,3,40,-1
3,2,4,37,-1
3,2,5,44,4
3,2,6,46,-1
3,2,7,51,0
3,2,8,47,1
3,2,9,48,2
3,2,10,52,3
3,5,0,90,-1
3,5,1,91,-1
3,5,2,92,-1
3,5,3,96,-1
3,5,4,94,-1
3,5,5,99,4
3,5,6,100,-1
3,5,7,103,0
3,5,8,104,1
3,5,9,101,2
3,5,10,107,3
4,5,0,93,-1
4,5,1,94,-1
4,5,2,95,-1
4,5,3,96,-1
4,5,4,91,-1
4,5,5,99,4
4,5,6,100,-1
4,5,7,107,0
4,5,8,103,1
4,5,9,106,2
4,5,10,105,3
4,4,0,73,-1
4,4,1,78,-1
4,4,2,77,-1
4,4,3,72,-1
4,4,4,74,-1
4,4,5,79,4
4,4,6,81,-1
4,4,7,89,0
4,4,8,87,1
4,4,9,85,2
4,4,10,83,3
5,3,0,56,-1
5,3,1,54,-1
5,3,2,58,-1
5,3,3,60,-1
5,3,4,55,-1
5,3,5,62,4
5,3,6,64,-1
5,3,7,65,0
5,3,8,68,1
5,3,9,67,2
5,3,10,69,3
5,9,0,162,-1
5,9,1,167,-1
5,9,2,166,-1
5,9,3,165,-1
5,9,4,163,-1
5,9,5,172,4
5,9,6,171,-1
5,9,7,175,0
5,9,8,179,1
5,9,9,177,2
5,9,10,173,3
6,7,0,131,-1
6,7,1,132,-1
6,7,2,130,-1
6,7,3,128,-1
6,7,4,127,-1
6,7,5,133,4
6,7,6,135,-1
6,7,7,137,0
6,7,8,139,1
6,7,9,140,2
6,7,10,143,3
6,9,0,165,-1
6,9,1,164,-1
6,9,2,167,-1
6,9,3,163,-1
6,9,4,162,-1
6,9,5,172,4
6,9,6,169,-1
6,9,7,176,0
6,9,8,175,1
6,9,9,174,2
6,9,10,178,3
7,5,0,94,-1
7,5,1,90,-1
7,5,2,96,-1
7,5,3,92,-1
7,5,4,95,-1
7,5,5,98,4
7,5,6,100,-1
7,5,7,101,0
7,5,8,106,1
7,5,9,103,2
7,5,10,107,3
7,3,0,60,-1
7,3,1,55,-1
7,3,2,58,-1
7,3,3,54,-1
7,3,4,57,-1
7,3,5,64,4
7,3,6,61,-1
7,3,7,66,0
7,3,8,65,1
7,3,9,67,2
7,3,10,71,3
8,5,0,95,-1
8,5,1,90,-1
8,5,2,91,-1
8,5,3,96,-1
8,5,4,93,-1
8,5,5,99,4
8,5,6,98,-1
8,5,7,105,0
8,5,8,101,1
8,5,9,102,2
8,5,10,103,3
8,8,0,145,-1
8,8,1,150,-1
8,8,2,147,-1
8,8,3,149,-1
8,8,4,144,-1
8,8,5,151,4
8,8,6,152,-1
8,8,7,159,0
8,8,8,160,1
8,8,9,156,2
8,8,10,155,3
9,6,0,109,-1
9,6,1,112,-1
9,6,2,110,-1
9,6,3,113,-1
9,6,4,114,-1
9,6,5,116,4
9,6,6,118,-1
9,6,7,123,0
9,6,8,121,1
9,6,9,119,2
9,6,10,124,3
9,4,0,72,-1
