player,role,hand,bowling_style
0,batter,right,spin
1,batter,right,pace
2,batter,right,spin
3,batter,right,pace
4,batter,left,pace
5,batter,right,spin
6,batter,right,spin
7,allrounder,right,spin
8,allrounder,right,spin
9,allrounder,left,pace
10,allrounder,right,spin
11,bowler,right,pace
12,bowler,right,spin
13,bowler,left,pace
14,bowler,right,spin
15,bowler,right,pace
16,bowler,right,pace
17,bowler,right,pace
18,batter,right,pace
19,batter,right,pace
20,batter,right,pace
21,batter,right,spin
22,batter,left,spin
23,batter,left,pace
24,batter,right,pace
25,allrounder,right,spin
26,allrounder,right,pace
27,allrounder,right,spin
28,allrounder,right,spin
29,bowler,right,pace
30,bowler,left,pace
31,bowler,right,pace
32,bowler,right,pace
33,bowler,right,spin
34,bowler,right,spin
35,bowler,right,spin
36,batter,right,pace
37,batter,right,pace
38,batter,right,pace
39,batter,right,spin
40,batter,right,pace
41,batter,left,pace
42,batter,right,pace
43,allrounder,left,spin
44,allrounder,left,spin
45,allrounder,left,spin
46,allrounder,left,pace
47,bowler,right,spin
48,bowler,left,pace
49,bowler,right,pace
50,bowler,right,spin
51,bowler,right,spin
52,bowler,right,spin
53,bowler,right,pace
54,batter,left,spin
55,batter,right,pace
56,batter,right,spin
57,batter,left,spin
58,batter,right,pace
59,batter,left,spin
60,batter,right,pace
61,allrounder,left,pace
62,allrounder,left,pace
63,allrounder,left,pace
64,allrounder,right,pace
65,bowler,right,pace
66,bowler,right,spin
67,bowler,right,pace
68,bowler,left,spin
69,bowler,right,pace
70,bowler,right,spin
71,bowler,right,spin
72,batter,right,spin
73,batter,right,pace
74,batter,right,spin
75,batter,right,pace
76,batter,right,pace
77,batter,right,spin
78,batter,left,pace
79,allrounder,right,pace
80,allrounder,right,spin
81,allrounder,right,spin
82,allrounder,right,spin
83,bowler,left,spin
84,bowler,right,spin
85,bowler,right,pace
86,bowler,left,pace
87,bowler,right,spin
88,bowler,left,pace
89,bowler,right,spin
90,batter,right,spin
91,batter,right,spin
92,batter,left,spin
93,batter,right,spin
94,batter,right,pace
95,batter,right,pace
96,batter,left,spin
97,allrounder,left,pace
98,allrounder,right,pace
99,allrounder,right,pace
100,allrounder,right,pace
101,bowler,right,pace
102,bowler,right,spin
103,bowler,left,spin
104,bowler,right,spin
105,bowler,right,spin
106,bowler,right,pace
107,bowler,left,spin
108,batter,right,pace
109,batter,left,spin
110,batter,right,spin
111,batter,right,spin
112,batter,right,pace
113,batter,right,pace
114,batter,right,spin
115,allrounder,right,spin
116,allrounder,left,pace
117,allrounder,right,spin
118,allrounder,left,pace
119,bowler,left,spin
120,bowler,right,pace
121,bowler,right,pace
122,bowler,right,spin
123,bowler,right,spin
124,bowler,left,spin
125,bowler,right,spin
126,batter,right,pace
127,batter,right,pace
128,batter,left,pace
129,batter,right,spin
130,batter,right,pace
131,batter,right,pace
132,batter,right,pace
133,allrounder,left,spin
134,allrounder,left,spin
135,allrounder,right,spin
136,allrounder,right,pace
137,bowler,right,pace
138,bowler,right,pace
139,bowler,right,pace
140,bowler,left,spin
141,bowler,right,pace
142,bowler,right,pace
143,bowler,left,pace
144,batter,left,pace
145,batter,right,spin
146,batter,right,pace
147,batter,right,pace
148,batter,left,pace
149,batter,right,pace
150,batter,right,pace
151,allrounder,right,spin
152,allrounder,left,pace
153,allrounder,left,spin
154,allrounder,right,pace
155,bowler,right,spin
156,bowler,right,pace
157,bowler,left,pace
158,bowler,right,pace
159,bowler,right,pace
160,bowler,right,spin
161,bowler,left,pace
162,batter,left,pace
163,batter,right,pace
164,batter,right,pace
165,batter,right,pace
166,batter,right,pace
167,batter,left,spin
168,batter,right,spin
169,allrounder,left,pace
170,allrounder,right,spin
171,allrounder,right,spin
172,allrounder,right,pace
173,bowler,left,pace
174,bowler,right,spin
175,bowler,right,spin
176,bowler,left,pace
177,bowler,left,spin
178,bowler,right,pace
179,bowler,right,spin
