season,match,innings,over,ball,batting_team,bowling_team,venue,batter,bowler,outcome,extra,position,wickets_before,runs_before,target
0,0,1,0,0,2,6,6,42,119,1,0,0,0,0,0
0,0,1,0,1,2,6,6,36,119,4,1,1,0,1,0
0,0,1,0,2,2,6,6,36,119,0,0,1,0,6,0
0,0,1,0,3,2,6,6,36,119,0,0,1,0,6,0
0,0,1,0,4,2,6,6,36,119,4,0,1,0,6,0
0,0,1,0,5,2,6,6,36,119,0,0,1,0,10,0
0,0,1,1,0,2,6,6,42,124,4,0,0,0,10,0
0,0,1,1,1,2,6,6,42,124,0,1,0,0,14,0
0,0,1,1,2,2,6,6,42,124,0,1,0,0,15,0
0,0,1,1,3,2,6,6,42,124,0,0,0,0,16,0
0,0,1,1,4,2,6,6,42,124,1,0,0,0,16,0
0,0,1,1,5,2,6,6,36,124,0,0,1,0,17,0
0,0,1,2,0,2,6,6,42,123,4,0,0,0,17,0
0,0,1,2,1,2,6,6,42,123,4,0,0,0,21,0
0,0,1,2,2,2,6,6,42,123,1,0,0,0,25,0
0,0,1,2,3,2,6,6,36,123,0,0,1,0,26,0
0,0,1,2,4,2,6,6,36,123,0,1,1,0,26,0
0,0,1,2,5,2,6,6,36,123,0,0,1,0,27,0
0,0,1,3,0,2,6,6,42,120,4,0,0,0,27,0
0,0,1,3,1,2,6,6,42,120,1,0,0,0,31,0
0,0,1,3,2,2,6,6,36,120,0,0,1,0,32,0
0,0,1,3,3,2,6,6,36,120,0,0,1,0,32,0
0,0,1,3,4,2,6,6,36,120,0,0,1,0,32,0
0,0,1,3,5,2,6,6,36,120,0,0,1,0,32,0
0,0,1,4,0,2,6,6,42,116,6,0,0,0,32,0
0,0,1,4,1,2,6,6,42,116,0,0,0,0,38,0
0,0,1,4,2,2,6,6,42,116,0,0,0,0,38,0
0,0,1,4,3,2,6,6,42,116,1,0,0,0,38,0
0,0,1,4,4,2,6,6,36,116,1,0,1,0,39,0
0,0,1,4,5,2,6,6,42,116,4,0,0,0,40,0
0,0,1,5,0,2,6,6,36,119,1,0,1,0,44,0
0,0,1,5,1,2,6,6,42,119,0,0,0,0,45,0
0,0,1,5,2,2,6,6,42,119,0,0,0,0,45,0
0,0,1,5,3,2,6,6,42,119,4,0,0,0,45,0
0,0,1,5,4,2,6,6,42,119,1,0,0,0,49,0
0,0,1,5,5,2,6,6,36,119,1,0,1,0,50,0
0,0,1,6,0,2,6,6,36,124,0,0,1,0,51,0
0,0,1,6,1,2,6,6,36,124,6,0,1,0,51,0
0,0,1,6,2,2,6,6,36,124,W,0,1,0,57,0
0,0,1,6,3,2,6,6,40,124,1,0,2,1,57,0
0,0,1,6,4,2,6,6,42,124,W,0,0,1,58,0
0,0,1,6,5,2,6,6,38,124,4,0,3,2,58,0
0,0,1,7,0,2,6,6,40,123,1,0,2,2,62,0
0,0,1,7,1,2,6,6,38,123,0,0,3,2,63,0
0,0,1,7,2,2,6,6,38,123,0,0,3,2,63,0
0,0,1,7,3,2,6,6,38,123,1,0,3,2,63,0
0,0,1,7,4,2,6,6,40,123,1,0,2,2,64,0
0,0,1,7,5,2,6,6,38,123,1,0,3,2,65,0
0,0,1,8,0,2,6,6,38,120,0,1,3,2,66,0
0,0,1,8,1,2,6,6,38,120,4,1,3,2,67,0
0,0,1,8,2,2,6,6,38,120,0,1,3,2,72,0
0,0,1,8,3,2,6,6,38,120,1,1,3,2,73,0
0,0,1,8,4,2,6,6,40,120,1,0,2,2,75,0
0,0,1,8,5,2,6,6,38,120,6,1,3,2,76,0
0,0,1,9,0,2,6,6,40,116,1,0,2,2,83,0
0,0,1,9,1,2,6,6,38,116,1,0,3,2,84,0
0,0,1,9,2,2,6,6,40,116,W,1,2,2,85,0
0,0,1,9,3,2,6,6,37,116,1,0,4,3,86,0
0,0,1,9,4,2,6,6,38,116,1,0,3,3,87,0
0,0,1,9,5,2,6,6,37,116,0,0,4,3,88,0
0,0,1,10,0,2,6,6,38,119,0,0,3,3,88,0
0,0,1,10,1,2,6,6,38,119,6,0,3,3,88,0
0,0,1,10,2,2,6,6,38,119,1,0,3,3,94,0
0,0,1,10,3,2,6,6,37,119,1,1,4,3,95,0
0,0,1,10,4,2,6,6,38,119,1,0,3,3,97,0
0,0,1,10,5,2,6,6,37,119,0,0,4,3,98,0
0,0,1,11,0,2,6,6,38,124,1,0,3,3,98,0
0,0,1,11,1,2,6,6,37,124,2,0,4,3,99,0
0,0,1,11,2,2,6,6,37,124,0,0,4,3,101,0
0,0,1,11,3,2,6,6,37,124,1,0,4,3,101,0
0,0,1,11,4,2,6,6,38,124,1,0,3,3,102,0
0,0,1,11,5,2,6,6,37,124,1,0,4,3,103,0
0,0,1,12,0,2,6,6,37,123,0,0,4,3,104,0
0,0,1,12,1,2,6,6,37,123,1,0,4,3,104,0
0,0,1,12,2,2,6,6,38,123,1,0,3,3,105,0
0,0,1,12,3,2,6,6,37,123,0,0,4,3,106,0
0,0,1,12,4,2,6,6,37,123,1,0,4,3,106,0
0,0,1,12,5,2,6,6,38,123,1,0,3,3,107,0
0,0,1,13,0,2,6,6,38,120,1,0,3,3,108,0
0,0,1,13,1,2,6,6,37,120,1,0,4,3,109,0
