fixture,team,batting_slot,player,bowling_slot
10000,5,0,147,-1
10000,5,1,91,-1
10000,5,2,96,-1
10000,5,3,42,-1
10000,5,4,36,-1
10000,5,5,99,4
10000,5,6,100,-1
10000,5,7,34,0
10000,5,8,106,1
10000,5,9,31,2
10000,5,10,104,3
10000,7,0,131,-1
10000,7,1,20,-1
10000,7,2,129,-1
10000,7,3,21,-1
10000,7,4,56,-1
10000,7,5,82,4
10000,7,6,134,-1
10000,7,7,179,0
10000,7,8,139,1
10000,7,9,177,2
10000,7,10,138,3
10001,4,0,114,-1
10001,4,1,75,-1
10001,4,2,74,-1
10001,4,3,76,-1
10001,4,4,72,-1
10001,4,5,80,4
10001,4,6,118,-1
10001,4,7,47,0
10001,4,8,87,1
10001,4,9,83,2
10001,4,10,122,3
10001,3,0,92,-1
10001,3,1,54,-1
10001,3,2,58,-1
10001,3,3,59,-1
10001,3,4,60,-1
10001,3,5,81,4
10001,3,6,43,-1
10001,3,7,67,0
10001,3,8,69,1
10001,3,9,119,2
10001,3,10,71,3
10002,8,0,128,-1
10002,8,1,18,-1
10002,8,2,149,-1
10002,8,3,113,-1
10002,8,4,19,-1
10002,8,5,153,4
10002,8,6,10,-1
10002,8,7,161,0
10002,8,8,123,1
10002,8,9,53,2
10002,8,10,155,3
10002,0,0,0,-1
10002,0,1,162,-1
10002,0,2,4,-1
10002,0,3,1,-1
10002,0,4,148,-1
10002,0,5,45,4
10002,0,6,7,-1
10002,0,7,105,0
10002,0,8,66,1
10002,0,9,29,2
10002,0,10,16,3
10003,2,0,166,-1
10003,2,1,144,-1
10003,2,2,167,-1
10003,2,3,39,-1
10003,2,4,41,-1
10003,2,5,46,4
10003,2,6,64,-1
10003,2,7,48,0
10003,2,8,51,1
10003,2,9,121,2
10003,2,10,178,3
10003,0,0,1,-1
10003,0,1,5,-1
10003,0,2,3,-1
10003,0,3,0,-1
10003,0,4,148,-1
10003,0,5,9,4
10003,0,6,45,-1
10003,0,7,105,0
10003,0,8,66,1
10003,0,9,16,2
10003,0,10,50,3
10004,0,0,5,-1
10004,0,1,4,-1
10004,0,2,0,-1
10004,0,3,148,-1
10004,0,4,3,-1
10004,0,5,45,4
10004,0,6,7,-1
10004,0,7,29,0
10004,0,8,50,1
10004,0,9,13,2
10004,0,10,105,3
10004,2,0,37,-1
10004,2,1,39,-1
10004,2,2,167,-1
10004,2,3,41,-1
10004,2,4,144,-1
10004,2,5,133,4
10004,2,6,44,-1
10004,2,7,14,0
10004,2,8,86,1
10004,2,9,121,2
10004,2,10,178,3
10005,0,0,4,-1
10005,0,1,5,-1
10005,0,2,1,-1
10005,0,3,148,-1
10005,0,4,3,-1
10005,0,5,9,4
10005,0,6,7,-1
10005,0,7,105,0
10005,0,8,103,1
10005,0,9,29,2
10005,0,10,50,3
10005,9,0,163,-1
10005,9,1,165,-1
10005,9,2,130,-1
10005,9,3,168,-1
10005,9,4,77,-1
10005,9,5,151,4
10005,9,6,172,-1
10005,9,7,88,0
10005,9,8,159,1
10005,9,9,142,2
10005,9,10,176,3
10006,9,0,168,-1
10006,9,1,145,-1
10006,9,2,165,-1
10006,9,3,73,-1
10006,9,4,77,-1
10006,9,5,63,4
10006,9,6,151,-1
10006,9,7,173,0
10006,9,8,88,1
10006,9,9,125,2
10006,9,10,11,3
10006,8,0,19,-1
10006,8,1,149,-1
10006,8,2,18,-1
10006,8,3,128,-1
10006,8,4,150,-1
10006,8,5,8,4
10006,8,6,10,-1
10006,8,7,156,0
10006,8,8,157,1
10006,8,9,53,2
10006,8,10,123,3
10007,1,0,111,-1
10007,1,1,127,-1
10007,1,2,146,-1
10007,1,3,22,-1
10007,1,4,24,-1
10007,1,5,26,4
10007,1,6,27,-1
10007,1,7,15,0
10007,1,8,17,1
10007,1,9,65,2
10007,1,10,30,3
10007,2,0,41,-1
10007,2,1,167,-1
10007,2,2,166,-1
10007,2,3,37,-1
10007,2,4,95,-1
10007,2,5,64,4
10007,2,6,46,-1
10007,2,7,121,0
10007,2,8,86,1
10007,2,9,48,2
10007,2,10,51,3
10008,0,0,148,-1
10008,0,1,0,-1
10008,0,2,1,-1
10008,0,3,5,-1
10008,0,4,3,-1
10008,0,5,9,4
10008,0,6,171,-1
10008,0,7,50,0
10008,0,8,16,1
10008,0,9,66,2
10008,0,10,105,3
10008,3,0,78,-1
10008,3,1,60,-1
10008,3,2,2,-1
10008,3,3,92,-1
10008,3,4,58,-1
10008,3,5,43,4
10008,3,6,97,-1
10008,3,7,71,0
10008,3,8,67,1
10008,3,9,68,2
10008,3,10,119,3
10009,0,0,0,-1
10009,0,1,162,-1
10009,0,2,4,-1
10009,0,3,5,-1
10009,0,4,3,-1
10009,0,5,9,4
10009,0,6,171,-1
10009,0,7,66,0
10009,0,8,13,1
10009,0,9,103,2
10009,0,10,29,3
10009,8,0,19,-1
10009,8,1,150,-1
10009,8,2,128,-1
10009,8,3,149,-1
10009,8,4,132,-1
10009,8,5,152,4
10009,8,6,10,-1
10009,8,7,155,0
10009,8,8,157,1
10009,8,9,161,2
10009,8,10,158,3
10010,9,0,145,-1
10010,9,1,77,-1
10010,9,2,165,-1
10010,9,3,168,-1
10010,9,4,73,-1
10010,9,5,172,4
10010,9,6,63,-1
10010,9,7,125,0
10010,9,8,173,1
10010,9,9,159,2
10010,9,10,11,3
10010,0,0,3,-1
10010,0,1,5,-1
10010,0,2,148,-1
10010,0,3,4,-1
10010,0,4,1,-1
10010,0,5,45,4
10010,0,6,9,-1
10010,0,7,13,0
10010,0,8,50,1
10010,0,9,105,2
10010,0,10,16,3
10011,0,0,4,-1
10011,0,1,148,-1
10011,0,2,5,-1
10011,0,3,0,-1
10011,0,4,162,-1
10011,0,5,9,4
10011,0,6,171,-1
10011,0,7,13,0
10011,0,8,29,1
10011,0,9,66,2
10011,0,10,50,3
10011,1,0,90,-1
10011,1,1,22,-1
10011,1,2,127,-1
10011,1,3,94,-1
10011,1,4,24,-1
10011,1,5,28,4
10011,1,6,27,-1
10011,1,7,35,0
10011,1,8,30,1
10011,1,9,65,2
10011,1,10,15,3
10012,5,0,91,-1
10012,5,1,147,-1
