match,team,batting_slot,player,bowling_slot
0,6,0,109,-1
0,6,1,110,-1
0,6,2,113,-1
0,6,3,111,-1
0,6,4,112,-1
0,6,5,116,4
0,6,6,117,-1
0,6,7,119,0
0,6,8,124,1
0,6,9,123,2
0,6,10,120,3
0,2,0,42,-1
0,2,1,36,-1
0,2,2,40,-1
0,2,3,38,-1
0,2,4,37,-1
0,2,5,45,4
0,2,6,46,-1
0,2,7,47,0
0,2,8,52,1
0,2,9,49,2
0,2,10,53,3
1,9,0,164,-1
1,9,1,162,-1
1,9,2,163,-1
1,9,3,168,-1
1,9,4,167,-1
1,9,5,172,4
1,9,6,170,-1
1,9,7,176,0
1,9,8,177,1
1,9,9,178,2
1,9,10,179,3
1,5,0,93,-1
1,5,1,91,-1
1,5,2,90,-1
1,5,3,92,-1
1,5,4,96,-1
1,5,5,99,4
1,5,6,100,-1
1,5,7,101,0
1,5,8,107,1
1,5,9,105,2
1,5,10,106,3
2,5,0,90,-1
2,5,1,94,-1
2,5,2,91,-1
2,5,3,93,-1
2,5,4,96,-1
2,5,5,99,4
2,5,6,98,-1
2,5,7,104,0
2,5,8,105,1
2,5,9,106,2
2,5,10,101,3
2,0,0,4,-1
2,0,1,2,-1
2,0,2,3,-1
2,0,3,5,-1
2,0,4,0,-1
2,0,5,10,4
2,0,6,7,-1
2,0,7,12,0
2,0,8,14,1
2,0,9,11,2
2,0,10,17,3
3,5,0,93,-1
3,5,1,94,-1
3,5,2,92,-1
3,5,3,96,-1
3,5,4,91,-1
3,5,5,97,4
3,5,6,99,-1
3,5,7,102,0
3,5,8,101,1
3,5,9,104,2
3,5,10,107,3
3,4,0,75,-1
3,4,1,73,-1
3,4,2,72,-1
3,4,3,77,-1
3,4,4,78,-1
3,4,5,82,4
3,4,6,81,-1
3,4,7,88,0
3,4,8,86,1
3,4,9,89,2
3,4,10,85,3
4,0,0,0,-1
4,0,1,2,-1
4,0,2,1,-1
4,0,3,4,-1
4,0,4,3,-1
4,0,5,10,4
4,0,6,7,-1
4,0,7,16,0
4,0,8,15,1
4,0,9,13,2
4,0,10,11,3
4,1,0,19,-1
4,1,1,23,-1
4,1,2,18,-1
4,1,3,24,-1
4,1,4,21,-1
4,1,5,28,4
4,1,6,26,-1
4,1,7,30,0
4,1,8,34,1
4,1,9,33,2
4,1,10,35,3
5,6,0,110,-1
5,6,1,108,-1
5,6,2,109,-1
5,6,3,114,-1
5,6,4,113,-1
5,6,5,118,4
5,6,6,115,-1
5,6,7,120,0
5,6,8,122,1
5,6,9,123,2
5,6,10,124,3
5,0,0,6,-1
5,0,1,3,-1
5,0,2,4,-1
5,0,3,5,-1
5,0,4,2,-1
5,0,5,10,4
5,0,6,7,-1
5,0,7,11,0
5,0,8,14,1
5,0,9,13,2
5,0,10,15,3
6,9,0,164,-1
6,9,1,162,-1
6,9,2,168,-1
6,9,3,163,-1
6,9,4,167,-1
6,9,5,171,4
6,9,6,169,-1
6,9,7,178,0
6,9,8,179,1
6,9,9,177,2
6,9,10,173,3
6,4,0,76,-1
6,4,1,78,-1
6,4,2,73,-1
6,4,3,77,-1
6,4,4,72,-1
6,4,5,82,4
6,4,6,79,-1
6,4,7,85,0
6,4,8,87,1
6,4,9,86,2
6,4,10,84,3
7,9,0,163,-1
7,9,1,166,-1
7,9,2,168,-1
7,9,3,164,-1
7,9,4,165,-1
7,9,5,170,4
7,9,6,171,-1
7,9,7,174,0
7,9,8,173,1
7,9,9,178,2
7,9,10,177,3
7,2,0,38,-1
7,2,1,41,-1
7,2,2,39,-1
7,2,3,36,-1
7,2,4,42,-1
7,2,5,45,4
7,2,6,44,-1
7,2,7,50,0
7,2,8,48,1
7,2,9,51,2
7,2,10,49,3
8,4,0,77,-1
8,4,1,78,-1
8,4,2,72,-1
8,4,3,73,-1
8,4,4,76,-1
8,4,5,81,4
8,4,6,80,-1
8,4,7,83,0
8,4,8,84,1
8,4,9,85,2
8,4,10,87,3
8,7,0,126,-1
8,7,1,128,-1
8,7,2,132,-1
8,7,3,127,-1
8,7,4,130,-1
8,7,5,133,4
8,7,6,136,-1
8,7,7,141,0
8,7,8,140,1
8,7,9,139,2
8,7,10,143,3
9,2,0,39,-1
9,2,1,41,-1
9,2,2,38,-1
9,2,3,40,-1
9,2,4,36,-1
9,2,5,43,4
9,2,6,45,-1
9,2,7,52,0
9,2,8,50,1
9,2,9,48,2
9,2,10,47,3
9,3,0,60,-1
9,3,1,54,-1
9,3,2,58,-1
9,3,3,55,-1
9,3,4,59,-1
9,3,5,64,4
9,3,6,61,-1
9,3,7,68,0
9,3,8,71,1
9,3,9,69,2
9,3,10,66,3
10,8,0,147,-1
10,8,1,146,-1
10,8,2,150,-1
10,8,3,149,-1
10,8,4,144,-1
10,8,5,154,4
10,8,6,153,-1
10,8,7,156,0
10,8,8,158,1
10,8,9,161,2
10,8,10,159,3
10,0,0,2,-1
10,0,1,1,-1
10,0,2,3,-1
10,0,3,5,-1
10,0,4,4,-1
10,0,5,10,4
10,0,6,8,-1
10,0,7,11,0
10,0,8,15,1
10,0,9,12,2
10,0,10,14,3
11,3,0,56,-1
11,3,1,55,-1
11,3,2,57,-1
11,3,3,59,-1
11,3,4,58,-1
11,3,5,61,4
11,3,6,64,-1
11,3,7,67,0
11,3,8,71,1
11,3,9,69,2
11,3,10,68,3
11,6,0,111,-1
11,6,1,109,-1
11,6,2,112,-1
11,6,3,108,-1
11,6,4,110,-1
11,6,5,115,4
11,6,6,116,-1
11,6,7,121,0
11,6,8,122,1
11,6,9,119,2
11,6,10,124,3
12,5,0,92,-1
12,5,1,91,-1
12,5,2,94,-1
12,5,3,90,-1
12,5,4,95,-1
12,5,5,98,4
12,5,6,97,-1
12,5,7,107,0
12,5,8,101,1
12,5,9,103,2
12,5,10,104,3
12,6,0,109,-1
12,6,1,113,-1
12,6,2,110,-1
12,6,3,108,-1
12,6,4,114,-1
12,6,5,115,4
12,6,6,117,-1
12,6,7,122,0
12,6,8,123,1
12,6,9,124,2
12,6,10,120,3
13,0,0,1,-1
13,0,1,0,-1
13,0,2,4,-1
13,0,3,5,-1
13,0,4,6,-1
13,0,5,10,4
13,0,6,7,-1
13,0,7,12,0
13,0,8,11,1
13,0,9,17,2
13,0,10,16,3
13,8,0,148,-1
13,8,1,149,-1
13,8,2,145,-1
13,8,3,147,-1
13,8,4,146,-1
13,8,5,153,4
13,8,6,151,-1
13,8,7,159,0
13,8,8,158,1
13,8,9,157,2
13,8,10,160,3
14,5,0,94,-1
14,5,1,96,-1
14,5,2,95,-1
14,5,3,93,-1
14,5,4,92,-1
14,5,5,98,4
14,5,6,100,-1
14,5,7,106,0
14,5,8,107,1
14,5,9,105,2
14,5,10,102,3
14,7,0,128,-1
14,7,1,132,-1
14,7,2,127,-1
14,7,3,131,-1
14,7,4,126,-1
14,7,5,134,4
14,7,6,135,-1
14,7,7,141,0
14,7,8,138,1
14,7,9,137,2
14,7,10,140,3
15,8,0,150,-1
15,8,1,145,-1
15,8,2,146,-1
15,8,3,149,-1
15,8,4,147,-1
15,8,5,154,4
15,8,6,152,-1
15,8,7,159,0
15,8,8,157,1
15,8,9,161,2
15,8,10,156,3
15,4,0,77,-1
15,4,1,75,-1
15,4,2,73,-1
15,4,3,76,-1
15,4,4,72,-1
15,4,5,80,4
15,4,6,79,-1
15,4,7,87,0
15,4,8,86,1
15,4,9,88,2
15,4,10,83,3
16,0,0,6,-1
16,0,1,4,-1
16,0,2,3,-1
16,0,3,1,-1
16,0,4,0,-1
16,0,5,8,4
16,0,6,10,-1
16,0,7,14,0
16,0,8,12,1
16,0,9,16,2
16,0,10,17,3
16,6,0,111,-1
16,6,1,110,-1
16,6,2,112,-1
16,6,3,109,-1
16,6,4,113,-1
16,6,5,116,4
16,6,6,117,-1
16,6,7,124,0
16,6,8,125,1
16,6,9,119,2
16,6,10,120,3
17,1,0,19,-1
17,1,1,20,-1
17,1,2,18,-1
17,1,3,23,-1
17,1,4,24,-1
17,1,5,28,4
17,1,6,27,-1
17,1,7,34,0
17,1,8,29,1
17,1,9,31,2
17,1,10,33,3
17,4,0,76,-1
17,4,1,77,-1
17,4,2,78,-1
17,4,3,75,-1
17,4,4,72,-1
17,4,5,82,4
17,4,6,81,-1
17,4,7,84,0
17,4,8,87,1
17,4,9,88,2
17,4,10,83,3
18,8,0,149,-1
18,8,1,147,-1
18,8,2,144,-1
18,8,3,146,-1
18,8,4,150,-1
18,8,5,151,4
18,8,6,153,-1
18,8,7,158,0
18,8,8,157,1
18,8,9,155,2
18,8,10,156,3
18,3,0,59,-1
18,3,1,56,-1
18,3,2,60,-1
18,3,3,55,-1
18,3,4,54,-1
18,3,5,61,4
18,3,6,64,-1
18,3,7,71,0
18,3,8,67,1
18,3,9,69,2
18,3,10,70,3
19,4,0,78,-1
19,4,1,73,-1
19,4,2,77,-1
19,4,3,72,-1
19,4,4,76,-1
19,4,5,81,4
19,4,6,82,-1
19,4,7,87,0
19,4,8,89,1
19,4,9,83,2
19,4,10,84,3
19,5,0,96,-1
19,5,1,95,-1
19,5,2,94,-1
19,5,3,91,-1
19,5,4,93,-1
19,5,5,97,4
19,5,6,98,-1
19,5,7,107,0
19,5,8,102,1
19,5,9,104,2
19,5,10,106,3
20,9,0,165,-1
20,9,1,168,-1
20,9,2,167,-1
20,9,3,166,-1
20,9,4,164,-1
20,9,5,171,4
20,9,6,172,-1
20,9,7,173,0
20,9,8,176,1
20,9,9,175,2
20,9,10,179,3
20,6,0,112,-1
20,6,1,109,-1
20,6,2,113,-1
20,6,3,114,-1
20,6,4,110,-1
20,6,5,118,4
20,6,6,117,-1
20,6,7,121,0
20,6,8,125,1
20,6,9,123,2
20,6,10,119,3
21,0,0,2,-1
21,0,1,4,-1
21,0,2,1,-1
21,0,3,5,-1
21,0,4,6,-1
21,0,5,7,4
21,0,6,10,-1
21,0,7,17,0
21,0,8,14,1
21,0,9,16,2
21,0,10,12,3
21,9,0,168,-1
21,9,1,166,-1
21,9,2,165,-1
21,9,3,167,-1
21,9,4,162,-1
21,9,5,171,4
21,9,6,170,-1
21,9,7,179,0
21,9,8,173,1
21,9,9,175,2
21,9,10,178,3
22,3,0,58,-1
22,3,1,55,-1
22,3,2,56,-1
22,3,3,57,-1
22,3,4,60,-1
22,3,5,61,4
22,3,6,63,-1
22,3,7,69,0
22,3,8,70,1
22,3,9,71,2
22,3,10,67,3
22,2,0,38,-1
22,2,1,36,-1
22,2,2,41,-1
22,2,3,39,-1
22,2,4,40,-1
22,2,5,43,4
22,2,6,45,-1
22,2,7,49,0
22,2,8,47,1
22,2,9,50,2
22,2,10,51,3
23,4,0,72,-1
23,4,1,78,-1
23,4,2,77,-1
23,4,3,76,-1
23,4,4,75,-1
23,4,5,79,4
23,4,6,81,-1
23,4,7,88,0
23,4,8,86,1
23,4,9,83,2
23,4,10,87,3
23,2,0,41,-1
23,2,1,40,-1
23,2,2,38,-1
23,2,3,37,-1
23,2,4,39,-1
23,2,5,46,4
23,2,6,44,-1
23,2,7,50,0
23,2,8,47,1
23,2,9,48,2
23,2,10,51,3
24,1,0,24,-1
24,1,1,18,-1
24,1,2,23,-1
24,1,3,21,-1
24,1,4,20,-1
24,1,5,27,4
24,1,6,28,-1
24,1,7,31,0
24,1,8,35,1
24,1,9,32,2
24,1,10,33,3
24,3,0,56,-1
24,3,1,57,-1
24,3,2,58,-1
24,3,3,54,-1
24,3,4,55,-1
24,3,5,64,4
24,3,6,63,-1
24,3,7,65,0
24,3,8,67,1
24,3,9,68,2
24,3,10,70,3
25,7,0,126,-1
25,7,1,128,-1
25,7,2,129,-1
25,7,3,132,-1
25,7,4,131,-1
25,7,5,135,4
25,7,6,136,-1
25,7,7,142,0
25,7,8,141,1
25,7,9,139,2
25,7,10,138,3
25,0,0,0,-1
25,0,1,2,-1
25,0,2,5,-1
25,0,3,4,-1
25,0,4,3,-1
25,0,5,8,4
25,0,6,9,-1
25,0,7,15,0
25,0,8,16,1
25,0,9,17,2
25,0,10,13,3
26,1,0,18,-1
26,1,1,23,-1
26,1,2,20,-1
26,1,3,22,-1
26,1,4,19,-1
26,1,5,28,4
26,1,6,26,-1
26,1,7,30,0
26,1,8,35,1
26,1,9,33,2
26,1,10,31,3
26,5,0,93,-1
26,5,1,90,-1
26,5,2,94,-1
26,5,3,91,-1
26,5,4,92,-1
26,5,5,99,4
26,5,6,97,-1
26,5,7,101,0
26,5,8,103,1
26,5,9,107,2
26,5,10,105,3
27,0,0,2,-1
27,0,1,5,-1
27,0,2,3,-1
27,0,3,0,-1
27,0,4,6,-1
27,0,5,9,4
27,0,6,10,-1
27,0,7,14,0
27,0,8,11,1
27,0,9,15,2
27,0,10,13,3
27,4,0,78,-1
27,4,1,75,-1
27,4,2,72,-1
27,4,3,74,-1
27,4,4,76,-1
27,4,5,81,4
27,4,6,82,-1
27,4,7,89,0
27,4,8,86,1
27,4,9,83,2
27,4,10,87,3
28,8,0,150,-1
28,8,1,145,-1
28,8,2,144,-1
28,8,3,149,-1
28,8,4,148,-1
28,8,5,153,4
28,8,6,152,-1
28,8,7,160,0
28,8,8,155,1
28,8,9,161,2
