player,role,hand,bowling_style
0,batter,right,spin
1,batter,right,pace
2,batter,right,pace
3,batter,right,spin
4,batter,right,spin
5,batter,right,pace
6,batter,right,pace
7,allrounder,right,spin
8,allrounder,left,pace
9,allrounder,right,pace
10,allrounder,right,pace
11,bowler,right,spin
12,bowler,right,spin
13,bowler,right,spin
14,bowler,right,spin
15,bowler,right,pace
16,bowler,left,pace
17,bowler,right,pace
18,batter,right,spin
19,batter,right,pace
20,batter,left,pace
21,batter,right,spin
22,batter,right,pace
23,batter,right,pace
24,batter,left,pace
25,allrounder,right,spin
26,allrounder,left,spin
27,allrounder,right,pace
28,allrounder,right,pace
29,bowler,right,spin
30,bowler,right,pace
31,bowler,right,spin
32,bowler,left,spin
33,bowler,left,pace
34,bowler,right,spin
35,bowler,right,pace
36,batter,right,pace
37,batter,right,pace
38,batter,left,pace
39,batter,right,pace
40,batter,left,pace
41,batter,left,spin
42,batter,left,spin
43,allrounder,right,spin
44,allrounder,left,spin
45,allrounder,left,pace
46,allrounder,left,spin
47,bowler,right,pace
48,bowler,right,pace
49,bowler,left,pace
50,bowler,right,pace
51,bowler,left,pace
52,bowler,right,pace
53,bowler,right,pace
54,batter,right,pace
55,batter,left,spin
56,batter,left,spin
57,batter,left,pace
58,batter,right,pace
59,batter,right,spin
60,batter,left,pace
61,allrounder,right,pace
62,allrounder,left,spin
63,allrounder,right,pace
64,allrounder,right,pace
65,bowler,left,pace
66,bowler,right,pace
67,bowler,right,pace
68,bowler,right,pace
69,bowler,left,pace
70,bowler,left,spin
71,bowler,right,spin
72,batter,right,pace
73,batter,left,pace
74,batter,right,spin
75,batter,right,spin
76,batter,right,spin
77,batter,right,pace
78,batter,right,pace
79,allrounder,right,pace
80,allrounder,left,spin
81,allrounder,right,spin
82,allrounder,right,spin
83,bowler,left,pace
84,bowler,right,spin
85,bowler,right,spin
86,bowler,right,pace
87,bowler,right,spin
88,bowler,right,spin
89,bowler,left,pace
90,batter,left,spin
91,batter,right,pace
92,batter,left,pace
93,batter,right,spin
94,batter,left,spin
95,batter,right,pace
96,batter,right,pace
97,allrounder,right,pace
98,allrounder,left,pace
99,allrounder,right,spin
100,allrounder,right,pace
101,bowler,right,spin
102,bowler,right,pace
103,bowler,right,pace
104,bowler,right,pace
105,bowler,left,pace
106,bowler,left,pace
107,bowler,left,pace
108,batter,right,spin
109,batter,right,pace
110,batter,right,pace
111,batter,right,pace
112,batter,right,spin
113,batter,left,pace
114,batter,right,pace
115,allrounder,right,spin
116,allrounder,right,spin
117,allrounder,left,pace
118,allrounder,right,pace
119,bowler,right,pace
120,bowler,left,spin
121,bowler,left,pace
122,bowler,right,pace
123,bowler,right,spin
124,bowler,right,spin
125,bowler,left,spin
126,batter,right,spin
127,batter,right,pace
128,batter,right,spin
129,batter,right,pace
130,batter,right,pace
131,batter,right,pace
132,batter,right,pace
133,allrounder,right,pace
134,allrounder,right,spin
135,allrounder,right,spin
136,allrounder,right,pace
137,bowler,left,spin
138,bowler,right,pace
139,bowler,right,pace
140,bowler,right,pace
141,bowler,right,pace
142,bowler,left,pace
143,bowler,right,spin
144,batter,right,pace
145,batter,right,spin
146,batter,left,spin
147,batter,left,pace
148,batter,right,spin
149,batter,right,pace
150,batter,left,pace
151,allrounder,left,pace
152,allrounder,right,pace
153,allrounder,right,spin
154,allrounder,right,pace
155,bowler,right,pace
156,bowler,right,pace
157,bowler,right,spin
158,bowler,left,spin
159,bowler,right,pace
160,bowler,right,pace
161,bowler,right,spin
162,batter,right,spin
163,batter,right,pace
164,batter,right,pace
165,batter,right,spin
166,batter,right,spin
167,batter,right,pace
168,batter,right,pace
169,allrounder,left,spin
170,allrounder,left,pace
171,allrounder,left,spin
172,allrounder,right,pace
173,bowler,right,pace
174,bowler,left,pace
175,bowler,right,pace
176,bowler,right,pace
177,bowler,left,spin
178,bowler,left,spin
179,bowler,right,spin
