fixture,team,batting_slot,player,bowling_slot
10000,4,0,93,-1
10000,4,1,76,-1
10000,4,2,167,-1
10000,4,3,75,-1
10000,4,4,72,-1
10000,4,5,79,4
10000,4,6,81,-1
10000,4,7,142,0
10000,4,8,175,1
10000,4,9,53,2
10000,4,10,88,3
10000,8,0,146,-1
10000,8,1,150,-1
10000,8,2,36,-1
10000,8,3,147,-1
10000,8,4,96,-1
10000,8,5,46,4
10000,8,6,153,-1
10000,8,7,159,0
10000,8,8,156,1
10000,8,9,157,2
10000,8,10,161,3
10001,6,0,77,-1
10001,6,1,37,-1
10001,6,2,78,-1
10001,6,3,110,-1
10001,6,4,113,-1
10001,6,5,115,4
10001,6,6,10,-1
10001,6,7,119,0
10001,6,8,125,1
10001,6,9,47,2
10001,6,10,121,3
10001,9,0,23,-1
10001,9,1,58,-1
10001,9,2,92,-1
10001,9,3,166,-1
10001,9,4,163,-1
10001,9,5,169,4
10001,9,6,171,-1
10001,9,7,160,0
10001,9,8,141,1
10001,9,9,174,2
10001,9,10,104,3
10002,7,0,129,-1
10002,7,1,55,-1
10002,7,2,54,-1
10002,7,3,19,-1
10002,7,4,130,-1
10002,7,5,133,4
10002,7,6,135,-1
10002,7,7,65,0
10002,7,8,137,1
10002,7,9,85,2
10002,7,10,89,3
10002,0,0,112,-1
10002,0,1,4,-1
10002,0,2,2,-1
10002,0,3,20,-1
10002,0,4,1,-1
10002,0,5,99,4
10002,0,6,61,-1
10002,0,7,17,0
10002,0,8,12,1
10002,0,9,179,2
10002,0,10,106,3
10003,4,0,72,-1
10003,4,1,76,-1
10003,4,2,75,-1
10003,4,3,73,-1
10003,4,4,167,-1
10003,4,5,79,4
10003,4,6,81,-1
10003,4,7,88,0
10003,4,8,142,1
10003,4,9,124,2
10003,4,10,84,3
10003,5,0,95,-1
10003,5,1,132,-1
10003,5,2,91,-1
10003,5,3,94,-1
10003,5,4,21,-1
10003,5,5,63,4
10003,5,6,100,-1
10003,5,7,107,0
10003,5,8,83,1
10003,5,9,14,2
10003,5,10,29,3
10004,8,0,146,-1
10004,8,1,148,-1
10004,8,2,96,-1
10004,8,3,108,-1
10004,8,4,36,-1
10004,8,5,153,4
10004,8,6,46,-1
10004,8,7,155,0
10004,8,8,161,1
10004,8,9,156,2
10004,8,10,159,3
10004,9,0,5,-1
10004,9,1,92,-1
10004,9,2,163,-1
10004,9,3,23,-1
10004,9,4,162,-1
10004,9,5,170,4
10004,9,6,169,-1
10004,9,7,160,0
10004,9,8,141,1
10004,9,9,87,2
10004,9,10,34,3
10005,3,0,114,-1
10005,3,1,57,-1
10005,3,2,56,-1
10005,3,3,144,-1
10005,3,4,127,-1
10005,3,5,62,4
10005,3,6,7,-1
10005,3,7,70,0
10005,3,8,71,1
10005,3,9,105,2
10005,3,10,66,3
10005,5,0,21,-1
10005,5,1,6,-1
10005,5,2,94,-1
10005,5,3,90,-1
10005,5,4,95,-1
10005,5,5,100,4
10005,5,6,8,-1
10005,5,7,101,0
10005,5,8,29,1
10005,5,9,14,2
10005,5,10,107,3
10006,4,0,75,-1
10006,4,1,72,-1
10006,4,2,93,-1
10006,4,3,60,-1
10006,4,4,167,-1
10006,4,5,82,4
10006,4,6,81,-1
10006,4,7,86,0
10006,4,8,124,1
10006,4,9,88,2
10006,4,10,142,3
10006,6,0,37,-1
10006,6,1,59,-1
10006,6,2,78,-1
10006,6,3,111,-1
10006,6,4,77,-1
10006,6,5,115,4
10006,6,6,10,-1
10006,6,7,121,0
10006,6,8,138,1
10006,6,9,47,2
10006,6,10,119,3
10007,6,0,78,-1
10007,6,1,110,-1
10007,6,2,77,-1
10007,6,3,113,-1
10007,6,4,37,-1
