player,role,hand,bowling_style
0,batter,left,pace
1,batter,right,spin
2,batter,right,spin
3,batter,left,spin
4,batter,right,pace
5,batter,left,spin
6,batter,right,pace
7,allrounder,right,spin
8,allrounder,left,spin
9,allrounder,right,spin
10,allrounder,right,spin
11,bowler,left,spin
12,bowler,right,pace
13,bowler,right,pace
14,bowler,right,pace
15,bowler,right,spin
16,bowler,left,pace
17,bowler,left,pace
18,batter,right,pace
19,batter,left,pace
20,batter,left,spin
21,batter,right,pace
22,batter,right,pace
23,batter,right,spin
24,batter,left,pace
25,allrounder,right,pace
26,allrounder,left,pace
27,allrounder,right,spin
28,allrounder,left,pace
29,bowler,right,pace
30,bowler,right,pace
31,bowler,right,spin
32,bowler,right,spin
33,bowler,right,spin
34,bowler,right,pace
35,bowler,right,pace
36,batter,right,spin
37,batter,right,spin
38,batter,right,pace
39,batter,right,spin
40,batter,right,spin
41,batter,left,pace
42,batter,right,pace
43,allrounder,right,spin
44,allrounder,right,spin
45,allrounder,right,spin
46,allrounder,left,pace
47,bowler,left,pace
48,bowler,left,pace
49,bowler,left,spin
50,bowler,left,spin
51,bowler,right,pace
52,bowler,right,spin
53,bowler,right,pace
54,batter,left,pace
55,batter,left,pace
56,batter,right,pace
57,batter,right,pace
58,batter,right,pace
59,batter,right,pace
60,batter,right,spin
61,allrounder,left,pace
62,allrounder,right,pace
63,allrounder,right,pace
64,allrounder,right,spin
65,bowler,right,spin
66,bowler,left,spin
67,bowler,right,pace
68,bowler,right,spin
69,bowler,right,pace
70,bowler,right,spin
71,bowler,right,spin
72,batter,left,spin
73,batter,right,spin
74,batter,right,pace
75,batter,left,pace
76,batter,right,pace
77,batter,right,pace
78,batter,left,pace
79,allrounder,left,pace
80,allrounder,right,spin
81,allrounder,right,spin
82,allrounder,left,pace
83,bowler,right,spin
84,bowler,right,pace
85,bowler,right,spin
86,bowler,right,pace
87,bowler,right,spin
88,bowler,right,pace
89,bowler,right,pace
90,batter,right,pace
91,batter,right,pace
92,batter,left,spin
93,batter,right,pace
94,batter,right,pace
95,batter,right,pace
96,batter,right,pace
97,allrounder,right,spin
98,allrounder,left,spin
99,allrounder,right,pace
100,allrounder,right,spin
101,bowler,right,pace
102,bowler,left,spin
103,bowler,right,spin
104,bowler,left,pace
105,bowler,right,pace
106,bowler,right,pace
107,bowler,left,pace
108,batter,right,pace
109,batter,right,spin
110,batter,right,pace
111,batter,right,pace
112,batter,right,pace
113,batter,right,spin
114,batter,left,pace
115,allrounder,right,pace
116,allrounder,left,pace
117,allrounder,right,pace
118,allrounder,right,pace
119,bowler,right,spin
120,bowler,right,pace
121,bowler,right,spin
122,bowler,right,spin
123,bowler,right,pace
124,bowler,right,spin
125,bowler,right,spin
126,batter,right,spin
127,batter,right,spin
128,batter,left,pace
129,batter,right,pace
130,batter,right,pace
131,batter,left,spin
132,batter,right,pace
133,allrounder,right,pace
134,allrounder,right,pace
135,allrounder,right,pace
136,allrounder,right,spin
137,bowler,right,spin
138,bowler,left,pace
139,bowler,right,spin
140,bowler,right,pace
141,bowler,left,pace
142,bowler,left,pace
143,bowler,right,spin
144,batter,right,pace
145,batter,right,pace
146,batter,right,spin
147,batter,left,spin
148,batter,right,pace
149,batter,right,pace
150,batter,right,pace
151,allrounder,right,pace
152,allrounder,right,pace
153,allrounder,right,spin
154,allrounder,right,spin
155,bowler,left,pace
156,bowler,left,pace
157,bowler,right,spin
158,bowler,left,pace
159,bowler,right,pace
160,bowler,right,pace
161,bowler,right,spin
162,batter,right,pace
163,batter,right,spin
164,batter,left,spin
165,batter,right,spin
166,batter,left,spin
167,batter,right,spin
168,batter,left,pace
169,allrounder,right,pace
170,allrounder,right,pace
171,allrounder,right,spin
172,allrounder,right,pace
173,bowler,left,pace
174,bowler,right,pace
175,bowler,right,pace
176,bowler,right,pace
177,bowler,right,spin
178,bowler,right,pace
179,bowler,left,spin
