season,match,innings,over,ball,batting_team,bowling_team,venue,batter,bowler,outcome,extra,position,wickets_before,runs_before,target
0,0,1,0,0,9,6,6,168,125,0,0,0,0,0,0
0,0,1,0,1,9,6,6,168,125,1,0,0,0,0,0
0,0,1,0,2,9,6,6,162,125,2,0,1,0,1,0
0,0,1,0,3,9,6,6,162,125,2,0,1,0,3,0
0,0,1,0,4,9,6,6,162,125,4,0,1,0,5,0
0,0,1,0,5,9,6,6,162,125,4,0,1,0,9,0
0,0,1,1,0,9,6,6,168,121,0,0,0,0,13,0
0,0,1,1,1,9,6,6,168,121,2,0,0,0,13,0
0,0,1,1,2,9,6,6,168,121,4,0,0,0,15,0
0,0,1,1,3,9,6,6,168,121,2,0,0,0,19,0
0,0,1,1,4,9,6,6,168,121,0,0,0,0,21,0
0,0,1,1,5,9,6,6,168,121,0,0,0,0,21,0
0,0,1,2,0,9,6,6,162,124,2,0,1,0,21,0
0,0,1,2,1,9,6,6,162,124,0,0,1,0,23,0
0,0,1,2,2,9,6,6,162,124,0,0,1,0,23,0
0,0,1,2,3,9,6,6,162,124,4,0,1,0,23,0
0,0,1,2,4,9,6,6,162,124,0,0,1,0,27,0
0,0,1,2,5,9,6,6,162,124,4,0,1,0,27,0
0,0,1,3,0,9,6,6,168,122,4,0,0,0,31,0
0,0,1,3,1,9,6,6,168,122,1,0,0,0,35,0
0,0,1,3,2,9,6,6,162,122,1,0,1,0,36,0
0,0,1,3,3,9,6,6,168,122,0,0,0,0,37,0
0,0,1,3,4,9,6,6,168,122,0,0,0,0,37,0
0,0,1,3,5,9,6,6,168,122,0,0,0,0,37,0
0,0,1,4,0,9,6,6,162,118,1,0,1,0,37,0
0,0,1,4,1,9,6,6,168,118,0,0,0,0,38,0
0,0,1,4,2,9,6,6,168,118,6,0,0,0,38,0
0,0,1,4,3,9,6,6,168,118,4,0,0,0,44,0
0,0,1,4,4,9,6,6,168,118,W,0,0,0,48,0
0,0,1,4,5,9,6,6,164,118,4,0,2,1,48,0
0,0,1,5,0,9,6,6,162,125,1,0,1,1,52,0
0,0,1,5,1,9,6,6,164,125,0,0,2,1,53,0
0,0,1,5,2,9,6,6,164,125,1,0,2,1,53,0
0,0,1,5,3,9,6,6,162,125,1,0,1,1,54,0
0,0,1,5,4,9,6,6,164,125,4,0,2,1,55,0
0,0,1,5,5,9,6,6,164,125,6,0,2,1,59,0
0,0,1,6,0,9,6,6,162,121,2,0,1,1,65,0
0,0,1,6,1,9,6,6,162,121,1,0,1,1,67,0
0,0,1,6,2,9,6,6,164,121,1,0,2,1,68,0
0,0,1,6,3,9,6,6,162,121,1,1,1,1,69,0
0,0,1,6,4,9,6,6,164,121,1,0,2,1,71,0
0,0,1,6,5,9,6,6,162,121,1,0,1,1,72,0
0,0,1,7,0,9,6,6,162,124,0,0,1,1,73,0
0,0,1,7,1,9,6,6,162,124,1,0,1,1,73,0
0,0,1,7,2,9,6,6,164,124,6,0,2,1,74,0
0,0,1,7,3,9,6,6,164,124,2,0,2,1,80,0
0,0,1,7,4,9,6,6,164,124,0,0,2,1,82,0
0,0,1,7,5,9,6,6,164,124,W,0,2,1,82,0
0,0,1,8,0,9,6,6,162,122,0,0,1,2,82,0
0,0,1,8,1,9,6,6,162,122,1,0,1,2,82,0
0,0,1,8,2,9,6,6,165,122,1,0,3,2,83,0
0,0,1,8,3,9,6,6,162,122,6,0,1,2,84,0
0,0,1,8,4,9,6,6,162,122,W,0,1,2,90,0
0,0,1,8,5,9,6,6,166,122,0,1,4,3,90,0
0,0,1,9,0,9,6,6,165,118,0,0,3,3,91,0
0,0,1,9,1,9,6,6,165,118,1,0,3,3,91,0
0,0,1,9,2,9,6,6,166,118,1,0,4,3,92,0
0,0,1,9,3,9,6,6,165,118,W,0,3,3,93,0
0,0,1,9,4,9,6,6,171,118,1,0,5,4,93,0
0,0,1,9,5,9,6,6,166,118,1,0,4,4,94,0
0,0,1,10,0,9,6,6,166,125,4,0,4,4,95,0
0,0,1,10,1,9,6,6,166,125,1,0,4,4,99,0
0,0,1,10,2,9,6,6,171,125,1,1,5,4,100,0
0,0,1,10,3,9,6,6,166,125,0,0,4,4,102,0
0,0,1,10,4,9,6,6,166,125,0,0,4,4,102,0
0,0,1,10,5,9,6,6,166,125,1,0,4,4,102,0
0,0,1,11,0,9,6,6,166,121,2,0,4,4,103,0
0,0,1,11,1,9,6,6,166,121,1,0,4,4,105,0
0,0,1,11,2,9,6,6,171,121,0,0,5,4,106,0
0,0,1,11,3,9,6,6,171,121,1,0,5,4,106,0
0,0,1,11,4,9,6,6,166,121,4,0,4,4,107,0
0,0,1,11,5,9,6,6,166,121,2,0,4,4,111,0
0,0,1,12,0,9,6,6,171,124,1,0,5,4,113,0
0,0,1,12,1,9,6,6,166,124,2,0,4,4,114,0
0,0,1,12,2,9,6,6,166,124,6,0,4,4,116,0
0,0,1,12,3,9,6,6,166,124,W,0,4,4,122,0
0,0,1,12,4,9,6,6,170,124,W,0,6,5,122,0
0,0,1,12,5,9,6,6,174,124,1,0,7,6,122,0
0,0,1,13,0,9,6,6,174,122,1,0,7,6,123,0
0,0,1,13,1,9,6,6,171,122,0,0,5,6,124,0
0,0,1,13,2,9,6,6,171,122,6,0,5,6,124,0
0,0,1,13,3,9,6,6,171,122,0,0,5,6,130,0
0,0,1,13,4,9,6,6,171,122,0,0,5,6,130,0
0,0,1,13,5,9,6,6,171,122,1,0,5,6,130,0
0,0,1,14,0,9,6,6,171,118,1,0,5,6,131,0
0,0,1,14,1,9,6,6,174,118,1,0,7,6,132,0
0,0,1,14,2,9,6,6,171,118,1,0,5,6,133,0
0,0,1,14,3,9,6,6,174,118,1,0,7,6,134,0
0,0,1,14,4,9,6,6,171,118,1,0,5,6,135,0
0,0,1,14,5,9,6,6,174,118,0,0,7,6,136,0
0,0,1,15,0,9,6,6,171,125,2,0,5,6,136,0
0,0,1,15,1,9,6,6,171,125,0,0,5,6,138,0
0,0,1,15,2,9,6,6,171,125,0,0,5,6,138,0
0,0,1,15,3,9,6,6,171,125,0,1,5,6,138,0
0,0,1,15,4,9,6,6,171,125,1,0,5,6,139,0
0,0,1,15,5,9,6,6,174,125,6,0,7,6,140,0
0,0,1,16,0,9,6,6,171,121,1,0,5,6,146,0
0,0,1,16,1,9,6,6,174,121,4,0,7,6,147,0
0,0,1,16,2,9,6,6,174,121,2,0,7,6,151,0
0,0,1,16,3,9,6,6,174,121,0,0,7,6,153,0
0,0,1,16,4,9,6,6,174,121,4,0,7,6,153,0
0,0,1,16,5,9,6,6,174,121,1,0,7,6,157,0
0,0,1,17,0,9,6,6,174,124,1,0,7,6,158,0
0,0,1,17,1,9,6,6,171,124,6,0,5,6,159,0
0,0,1,17,2,9,6,6,171,124,1,0,5,6,165,0
0,0,1,17,3,9,6,6,174,124,0,0,7,6,166,0
0,0,1,17,4,9,6,6,174,124,0,0,7,6,166,0
0,0,1,17,5,9,6,6,174,124,0,0,7,6,166,0
0,0,1,18,0,9,6,6,171,122,1,0,5,6,166,0
0,0,1,18,1,9,6,6,174,122,1,0,7,6,167,0
0,0,1,18,2,9,6,6,171,122,6,0,5,6,168,0
0,0,1,18,3,9,6,6,171,122,1,0,5,6,174,0
0,0,1,18,4,9,6,6,174,122,1,0,7,6,175,0
0,0,1,18,5,9,6,6,171,122,4,0,5,6,176,0
0,0,1,19,0,9,6,6,174,118,0,0,7,6,180,0
0,0,1,19,1,9,6,6,174,118,1,0,7,6,180,0
0,0,1,19,2,9,6,6,171,118,4,0,5,6,181,0
0,0,1,19,3,9,6,6,171,118,W,0,5,6,185,0
0,0,1,19,4,9,6,6,175,118,1,0,8,7,185,0
0,0,1,19,5,9,6,6,174,118,0,0,7,7,186,0
0,0,2,0,0,6,9,6,112,174,1,0,0,0,0,187
0,0,2,0,1,6,9,6,114,174,0,0,1,0,1,187
0,0,2,0,2,6,9,6,114,174,W,1,1,0,1,187
0,0,2,0,3,6,9,6,109,174,1,0,2,1,2,187
0,0,2,0,4,6,9,6,112,174,0,0,0,1,3,187
0,0,2,0,5,6,9,6,112,174,4,0,0,1,3,187
0,0,2,1,0,6,9,6,109,175,6,0,2,1,7,187
0,0,2,1,1,6,9,6,109,175,0,0,2,1,13,187
0,0,2,1,2,6,9,6,109,175,2,0,2,1,13,187
0,0,2,1,3,6,9,6,109,175,1,0,2,1,15,187
0,0,2,1,4,6,9,6,112,175,0,1,0,1,16,187
0,0,2,1,5,6,9,6,112,175,6,0,0,1,17,187
0,0,2,2,0,6,9,6,109,176,4,0,2,1,23,187
0,0,2,2,1,6,9,6,109,176,0,0,2,1,27,187
0,0,2,2,2,6,9,6,109,176,4,0,2,1,27,187
0,0,2,2,3,6,9,6,109,176,0,0,2,1,31,187
0,0,2,2,4,6,9,6,109,176,2,0,2,1,31,187
0,0,2,2,5,6,9,6,109,176,0,0,2,1,33,187
0,0,2,3,0,6,9,6,112,173,4,1,0,1,33,187
0,0,2,3,1,6,9,6,112,173,0,0,0,1,38,187
0,0,2,3,2,6,9,6,112,173,6,0,0,1,38,187
0,0,2,3,3,6,9,6,112,173,0,0,0,1,44,187
0,0,2,3,4,6,9,6,112,173,1,0,0,1,44,187
0,0,2,3,5,6,9,6,109,173,4,0,2,1,45,187
0,0,2,4,0,6,9,6,112,171,0,0,0,1,49,187
0,0,2,4,1,6,9,6,112,171,0,0,0,1,49,187
0,0,2,4,2,6,9,6,112,171,0,0,0,1,49,187
0,0,2,4,3,6,9,6,112,171,0,0,0,1,49,187
0,0,2,4,4,6,9,6,112,171,1,0,0,1,49,187
0,0,2,4,5,6,9,6,109,171,0,0,2,1,50,187
