fixture,team,batting_slot,player,bowling_slot
10000,8,0,146,-1
10000,8,1,72,-1
10000,8,2,150,-1
10000,8,3,144,-1
10000,8,4,19,-1
10000,8,5,135,4
10000,8,6,151,-1
10000,8,7,155,0
10000,8,8,161,1
10000,8,9,52,2
10000,8,10,156,3
10000,9,0,110,-1
10000,9,1,132,-1
10000,9,2,168,-1
10000,9,3,60,-1
10000,9,4,3,-1
10000,9,5,44,4
10000,9,6,172,-1
10000,9,7,179,0
10000,9,8,177,1
10000,9,9,106,2
10000,9,10,142,3
10001,7,0,109,-1
10001,7,1,74,-1
10001,7,2,23,-1
10001,7,3,5,-1
10001,7,4,24,-1
10001,7,5,134,4
10001,7,6,171,-1
10001,7,7,140,0
10001,7,8,141,1
10001,7,9,138,2
10001,7,10,48,3
10001,5,0,93,-1
10001,5,1,131,-1
10001,5,2,92,-1
10001,5,3,94,-1
10001,5,4,147,-1
10001,5,5,99,4
10001,5,6,27,-1
10001,5,7,105,0
10001,5,8,104,1
10001,5,9,103,2
10001,5,10,107,3
10002,6,0,127,-1
10002,6,1,55,-1
10002,6,2,73,-1
10002,6,3,111,-1
10002,6,4,37,-1
10002,6,5,117,4
10002,6,6,116,-1
10002,6,7,85,0
10002,6,8,121,1
10002,6,9,15,2
10002,6,10,122,3
10002,1,0,76,-1
10002,1,1,56,-1
10002,1,2,41,-1
10002,1,3,167,-1
10002,1,4,96,-1
10002,1,5,25,4
10002,1,6,97,-1
10002,1,7,120,0
10002,1,8,29,1
10002,1,9,178,2
10002,1,10,66,3
10003,5,0,131,-1
10003,5,1,91,-1
10003,5,2,92,-1
10003,5,3,113,-1
10003,5,4,94,-1
10003,5,5,99,4
10003,5,6,63,-1
10003,5,7,105,0
10003,5,8,176,1
10003,5,9,103,2
10003,5,10,173,3
10003,7,0,24,-1
10003,7,1,109,-1
10003,7,2,164,-1
10003,7,3,130,-1
10003,7,4,74,-1
10003,7,5,8,4
10003,7,6,134,-1
10003,7,7,175,0
10003,7,8,139,1
10003,7,9,140,2
10003,7,10,49,3
10004,5,0,91,-1
10004,5,1,93,-1
10004,5,2,113,-1
10004,5,3,147,-1
10004,5,4,94,-1
10004,5,5,27,4
10004,5,6,63,-1
10004,5,7,107,0
10004,5,8,174,1
10004,5,9,103,2
10004,5,10,176,3
10004,2,0,21,-1
10004,2,1,40,-1
10004,2,2,38,-1
10004,2,3,42,-1
10004,2,4,36,-1
10004,2,5,26,4
10004,2,6,43,-1
10004,2,7,65,0
10004,2,8,53,1
10004,2,9,50,2
10004,2,10,71,3
10005,7,0,24,-1
10005,7,1,109,-1
10005,7,2,74,-1
10005,7,3,164,-1
10005,7,4,23,-1
10005,7,5,133,4
10005,7,6,8,-1
10005,7,7,49,0
10005,7,8,140,1
10005,7,9,175,2
10005,7,10,139,3
10005,1,0,167,-1
10005,1,1,18,-1
10005,1,2,56,-1
10005,1,3,20,-1
10005,1,4,41,-1
10005,1,5,25,4
10005,1,6,97,-1
10005,1,7,29,0
10005,1,8,34,1
10005,1,9,178,2
10005,1,10,33,3
10006,7,0,74,-1
10006,7,1,5,-1
10006,7,2,109,-1
10006,7,3,130,-1
10006,7,4,23,-1
10006,7,5,171,4
10006,7,6,134,-1
10006,7,7,138,0
10006,7,8,140,1
10006,7,9,49,2
10006,7,10,139,3
10006,0,0,129,-1
10006,0,1,90,-1
10006,0,2,1,-1
10006,0,3,4,-1
10006,0,4,6,-1
10006,0,5,46,4
10006,0,6,10,-1
10006,0,7,12,0
10006,0,8,101,1
10006,0,9,123,2
10006,0,10,14,3
10007,6,0,55,-1
10007,6,1,127,-1
10007,6,2,114,-1
10007,6,3,111,-1
10007,6,4,126,-1
10007,6,5,152,4
10007,6,6,115,-1
10007,6,7,121,0
10007,6,8,85,1
10007,6,9,122,2
10007,6,10,160,3
10007,7,0,109,-1
10007,7,1,164,-1
10007,7,2,23,-1
10007,7,3,74,-1
10007,7,4,5,-1
10007,7,5,134,4
10007,7,6,8,-1
10007,7,7,139,0
10007,7,8,140,1
10007,7,9,175,2
10007,7,10,138,3
10008,1,0,41,-1
10008,1,1,96,-1
10008,1,2,76,-1
10008,1,3,167,-1
10008,1,4,56,-1
