season,match,week,home,away,venue,toss_winner,batted_first,first_total,second_total,winner
0,0,0,6,9,6,6,9,186,188,6
0,1,0,6,7,6,7,6,245,225,6
0,2,0,1,8,1,1,8,169,170,1
0,3,0,0,9,0,0,9,140,137,9
0,4,0,4,9,4,9,4,183,174,4
0,5,0,0,5,0,5,0,164,166,5
0,6,0,6,1,6,1,6,171,167,6
0,7,0,2,4,2,2,4,141,143,2
0,8,0,7,4,7,7,4,215,194,4
0,9,0,8,9,8,9,8,159,161,9
0,10,0,3,6,3,6,3,181,184,6
0,11,0,2,6,2,2,6,166,118,6
0,12,1,0,8,0,8,0,173,133,0
0,13,1,8,2,8,2,8,197,139,8
0,14,1,4,5,4,4,5,115,118,4
0,15,1,5,1,5,1,5,149,154,1
0,16,1,1,6,1,1,6,194,195,1
0,17,1,4,3,4,4,3,226,201,3
0,18,1,0,6,0,0,6,181,182,0
0,19,1,7,2,7,7,2,188,157,2
0,20,1,4,1,4,4,1,164,139,1
0,21,1,2,5,2,2,5,208,214,2
0,22,1,6,3,6,6,3,179,183,6
0,23,1,3,2,3,2,3,140,143,2
0,24,2,8,0,8,8,0,218,156,0
0,25,2,2,7,2,2,7,238,225,7
0,26,2,5,4,5,4,5,138,139,4
0,27,2,8,7,8,8,7,161,164,8
0,28,2,1,2,1,1,2,138,142,1
0,29,2,4,8,4,8,4,140,143,8
0,30,2,7,6,7,7,6,182,183,7
0,31,2,0,2,0,2,0,161,162,2
0,32,2,0,7,0,7,0,163,152,0
0,33,2,8,5,8,8,5,183,143,5
0,34,2,9,7,9,9,7,121,125,9
0,35,2,1,5,1,5,1,169,172,5
0,36,3,1,4,1,4,1,238,146,1
0,37,3,6,8,6,8,6,164,98,6
0,38,3,6,5,6,5,6,184,152,6
0,39,3,2,8,2,2,8,162,151,8
0,40,3,9,3,9,3,9,190,138,9
0,41,3,1,3,1,3,1,222,202,1
0,42,3,9,2,9,9,2,179,181,9
0,43,3,7,5,7,5,7,191,187,7
0,44,3,4,6,4,4,6,201,204,4
0,45,3,3,7,3,3,7,231,187,7
0,46,3,0,3,0,3,0,213,176,0
0,47,3,1,9,1,1,9,171,171,1
0,48,4,3,4,3,3,4,147,153,3
0,49,4,9,1,9,9,1,243,187,1
0,50,4,4,7,4,4,7,168,172,4
0,51,4,3,8,3,3,8,179,183,3
0,52,4,6,4,6,6,4,167,159,4
0,53,4,9,5,9,9,5,130,83,5
0,54,4,1,7,1,1,7,164,117,7
0,55,4,2,0,2,2,0,158,121,0
0,56,4,7,8,7,7,8,188,186,8
0,57,4,3,0,3,3,0,184,186,3
0,58,4,3,9,3,3,9,195,184,9
0,59,4,1,0,1,1,0,154,155,1
0,60,5,5,0,5,0,5,188,125,5
0,61,5,8,6,8,6,8,161,162,6
0,62,5,3,5,3,3,5,181,185,3
0,63,5,0,4,0,4,0,234,237,4
0,64,5,9,4,9,9,4,158,155,4
0,65,5,2,3,2,3,2,229,135,2
0,66,5,7,3,7,7,3,142,143,7
0,67,5,7,9,7,9,7,140,141,9
0,68,5,5,3,5,3,5,185,170,5
0,69,5,5,8,5,5,8,136,134,8
0,70,5,9,8,9,8,9,270,200,9
0,71,5,9,0,9,0,9,226,196,9
0,72,6,5,2,5,5,2,198,158,2
0,73,6,4,0,4,4,0,157,141,0
0,74,6,4,2,4,2,4,178,158,4
0,75,6,5,7,5,5,7,193,143,7
0,76,6,0,1,0,1,0,161,111,0
0,77,6,5,9,5,5,9,184,190,5
0,78,6,3,1,3,3,1,139,142,3
0,79,6,8,3,8,3,8,182,166,8
0,80,6,9,6,9,9,6,210,143,6
0,81,6,7,1,7,1,7,197,202,1
0,82,6,5,6,5,5,6,170,173,5
0,83,6,8,4,8,8,4,167,173,8
0,84,7,8,1,8,8,1,153,154,8
0,85,7,6,0,6,6,0,198,204,6
0,86,7,2,9,2,2,9,170,144,9
0,87,7,2,1,2,2,1,132,135,2
0,88,7,6,2,6,6,2,186,192,6
0,89,7,7,0,7,7,0,128,129,7
1,90,0,3,0,3,0,3,149,145,3
1,91,0,2,8,2,8,2,168,171,8
1,92,0,1,2,1,2,1,196,124,1
1,93,0,2,4,2,4,2,197,179,2
1,94,0,9,5,9,5,9,174,176,5
1,95,0,0,3,0,0,3,217,219,0
1,96,0,8,9,8,9,8,215,184,8
1,97,0,2,1,2,2,1,210,215,2
1,98,0,2,3,2,3,2,147,148,3
1,99,0,4,3,4,4,3,190,164,3
1,100,0,6,7,6,7,6,209,166,6
1,101,0,0,5,0,0,5,229,189,5
1,102,1,4,5,4,4,5,161,160,5
1,103,1,5,8,5,5,8,95,100,5
1,104,1,1,3,1,3,1,173,154,1
1,105,1,3,4,3,3,4,169,170,3
1,106,1,7,5,7,5,7,201,148,7
1,107,1,2,0,2,0,2,208,211,0
1,108,1,9,2,9,2,9,193,129,9
1,109,1,9,1,9,1,9,138,141,1
1,110,1,8,0,8,8,0,214,215,8
1,111,1,1,9,1,1,9,124,125,1
1,112,1,8,5,8,8,5,157,145,5
1,113,1,3,9,3,3,9,187,190,3
1,114,2,8,6,8,8,6,165,167,8
1,115,2,4,9,4,9,4,198,165,4
1,116,2,0,7,0,0,7,190,159,7
1,117,2,9,3,9,3,9,162,165,3
1,118,2,7,9,7,7,9,240,240,9
1,119,2,1,4,1,1,4,130,133,1
1,120,2,8,3,8,3,8,169,170,3
1,121,2,5,3,5,3,5,105,106,3
1,122,2,6,2,6,6,2,199,201,6
1,123,2,7,1,7,1,7,177,177,7
1,124,2,4,0,4,4,0,116,118,4
1,125,2,7,4,7,4,7,220,114,7
1,126,3,1,8,1,1,8,210,167,8
1,127,3,5,9,5,9,5,239,243,9
1,128,3,4,2,4,4,2,137,138,4
1,129,3,4,8,4,8,4,201,197,4
1,130,3,2,9,2,2,9,154,156,2
1,131,3,8,7,8,7,8,220,202,8
1,132,3,2,6,2,6,2,178,129,2
1,133,3,3,2,3,2,3,182,187,2
1,134,3,9,8,9,9,8,204,206,9
1,135,3,8,1,8,8,1,141,144,8
1,136,3,1,6,1,6,1,201,189,1
1,137,3,4,1,4,1,4,252,249,4
1,138,4,1,5,1,1,5,155,152,5
1,139,4,7,0,7,0,7,140,143,0
1,140,4,7,6,7,7,6,201,164,6
1,141,4,9,0,9,9,0,94,96,9
1,142,4,4,6,4,4,6,170,175,4
1,143,4,3,5,3,5,3,179,152,3
1,144,4,0,4,0,0,4,232,203,4
1,145,4,5,4,5,4,5,152,139,5
1,146,4,3,8,3,8,3,197,107,3
1,147,4,0,9,0,9,0,206,197,0
1,148,4,9,7,9,9,7,175,139,7
1,149,4,3,6,3,3,6,242,245,3
1,150,5,9,6,9,9,6,193,176,6
1,151,5,5,0,5,5,0,204,192,0
1,152,5,0,8,0,8,0,173,177,8
1,153,5,2,7,2,7,2,210,138,2
1,154,5,8,4,8,8,4,195,167,4
1,155,5,7,2,7,7,2,222,221,2
1,156,5,8,2,8,2,8,172,151,8
1,157,5,5,2,5,5,2,137,136,2
1,158,5,3,7,3,3,7,138,139,3
1,159,5,0,2,0,0,2,209,214,0
1,160,5,3,1,3,1,3,206,166,3
1,161,5,6,0,6,0,6,269,195,6
1,162,6,2,5,2,2,5,239,139,5
1,163,6,5,1,5,1,5,203,162,5
1,164,6,7,8,7,7,8,199,157,8
1,165,6,1,0,1,0,1,201,194,1
1,166,6,5,7,5,7,5,192,193,7
1,167,6,6,8,6,8,6,232,202,6
1,168,6,5,6,5,5,6,128,131,5
1,169,6,0,1,0,1,0,143,144,1
1,170,6,6,4,6,4,6,207,209,4
1,171,6,1,7,1,1,7,143,145,1
1,172,6,6,5,6,6,5,178,181,6
1,173,6,7,3,7,7,3,192,195,7
1,174,7,6,9,6,9,6,193,197,9
1,175,7,6,1,6,1,6,160,108,6
1,176,7,0,6,0,6,0,168,171,6
1,177,7,4,7,4,7,4,261,218,4
1,178,7,6,3,6,3,6,218,212,6
1,179,7,9,4,9,4,9,185,187,4
2,180,0,6,1,6,6,1,237,230,1
2,181,0,4,2,4,2,4,160,166,2
2,182,0,1,3,1,3,1,145,146,3
2,183,0,2,1,2,2,1,163,167,2
2,184,0,5,3,5,5,3,147,150,5
2,185,0,8,2,8,2,8,157,159,2
2,186,0,1,0,1,1,0,273,173,0
2,187,0,5,8,5,8,5,253,215,5
2,188,0,6,9,6,6,9,205,178,9
2,189,0,2,7,2,7,2,220,221,7
2,190,0,4,0,4,0,4,235,137,4
2,191,0,7,8,7,7,8,173,176,7
2,192,1,3,5,3,3,5,140,143,3
2,193,1,3,1,3,3,1,211,216,3
2,194,1,0,1,0,0,1,161,120,1
2,195,1,7,1,7,7,1,155,158,7
2,196,1,7,2,7,2,7,237,200,7
2,197,1,4,8,4,4,8,220,186,8
2,198,1,3,2,3,3,2,209,193,2
2,199,1,3,0,3,3,0,223,219,0
2,200,1,1,8,1,8,1,136,138,8
2,201,1,2,5,2,5,2,194,189,2
2,202,1,2,8,2,8,2,133,137,8
2,203,1,6,5,6,5,6,217,202,6
2,204,2,7,4,7,4,7,227,199,7
2,205,2,3,7,3,7,3,180,182,7
2,206,2,2,6,2,6,2,204,196,2
2,207,2,5,0,5,0,5,192,194,0
2,208,2,6,8,6,6,8,173,122,8
2,209,2,7,5,7,7,5,228,230,7
2,210,2,5,7,5,5,7,232,166,7
2,211,2,9,3,9,9,3,143,148,9
