player,role,hand,bowling_style
0,batter,right,pace
1,batter,right,spin
2,batter,right,spin
3,batter,right,pace
4,batter,right,pace
5,batter,right,pace
6,batter,left,pace
7,allrounder,right,pace
8,allrounder,left,spin
9,allrounder,left,pace
10,allrounder,left,spin
11,bowler,right,pace
12,bowler,right,spin
13,bowler,right,pace
14,bowler,left,spin
15,bowler,right,spin
16,bowler,right,spin
17,bowler,left,spin
18,batter,right,pace
19,batter,right,pace
20,batter,right,pace
21,batter,right,pace
22,batter,right,spin
23,batter,right,spin
24,batter,right,pace
25,allrounder,right,pace
26,allrounder,right,spin
27,allrounder,left,spin
28,allrounder,right,spin
29,bowler,right,pace
30,bowler,right,spin
31,bowler,left,pace
32,bowler,right,pace
33,bowler,right,spin
34,bowler,left,pace
35,bowler,left,pace
36,batter,right,spin
37,batter,right,pace
38,batter,right,pace
39,batter,right,pace
40,batter,left,pace
41,batter,right,spin
42,batter,left,pace
43,allrounder,right,spin
44,allrounder,right,spin
45,allrounder,right,spin
46,allrounder,right,pace
47,bowler,left,pace
48,bowler,right,pace
49,bowler,left,pace
50,bowler,left,pace
51,bowler,left,pace
52,bowler,right,spin
53,bowler,right,spin
54,batter,left,pace
55,batter,left,spin
56,batter,left,pace
57,batter,left,pace
58,batter,right,pace
59,batter,right,spin
60,batter,right,pace
61,allrounder,right,spin
62,allrounder,right,pace
63,allrounder,right,spin
64,allrounder,right,spin
65,bowler,left,spin
66,bowler,right,pace
67,bowler,right,pace
68,bowler,left,pace
69,bowler,right,pace
70,bowler,right,pace
71,bowler,right,pace
72,batter,right,spin
73,batter,right,spin
74,batter,right,pace
75,batter,right,spin
76,batter,right,spin
77,batter,right,pace
78,batter,right,pace
79,allrounder,left,spin
80,allrounder,right,spin
81,allrounder,left,spin
82,allrounder,left,spin
83,bowler,right,pace
84,bowler,right,pace
85,bowler,left,spin
86,bowler,left,spin
87,bowler,right,spin
88,bowler,left,spin
89,bowler,right,pace
90,batter,left,spin
91,batter,right,pace
92,batter,right,spin
93,batter,left,pace
94,batter,right,pace
95,batter,left,spin
96,batter,left,spin
97,allrounder,right,spin
98,allrounder,right,pace
99,allrounder,right,spin
100,allrounder,left,spin
101,bowler,right,spin
102,bowler,left,pace
103,bowler,right,spin
104,bowler,right,pace
105,bowler,right,spin
106,bowler,right,pace
107,bowler,right,pace
108,batter,right,pace
109,batter,right,pace
110,batter,right,spin
111,batter,left,pace
112,batter,right,spin
113,batter,right,spin
114,batter,left,spin
115,allrounder,left,spin
116,allrounder,right,pace
117,allrounder,right,spin
118,allrounder,right,pace
119,bowler,right,pace
120,bowler,right,pace
121,bowler,right,spin
122,bowler,right,spin
123,bowler,right,spin
124,bowler,right,spin
125,bowler,right,pace
126,batter,left,spin
127,batter,left,pace
128,batter,right,spin
129,batter,right,pace
130,batter,right,spin
131,batter,left,pace
132,batter,left,spin
133,allrounder,right,spin
134,allrounder,right,pace
135,allrounder,right,pace
136,allrounder,right,pace
137,bowler,right,spin
138,bowler,right,pace
139,bowler,right,pace
140,bowler,right,pace
141,bowler,right,spin
142,bowler,right,spin
143,bowler,right,pace
144,batter,right,pace
145,batter,right,spin
146,batter,right,spin
147,batter,right,spin
148,batter,left,pace
149,batter,right,pace
150,batter,right,pace
151,allrounder,right,spin
152,allrounder,right,spin
153,allrounder,right,pace
154,allrounder,left,pace
155,bowler,right,spin
156,bowler,right,pace
157,bowler,left,pace
158,bowler,left,pace
159,bowler,left,spin
160,bowler,right,pace
161,bowler,right,spin
162,batter,right,pace
163,batter,right,pace
164,batter,left,pace
165,batter,left,pace
166,batter,right,spin
167,batter,right,spin
168,batter,right,pace
169,allrounder,left,pace
170,allrounder,right,spin
171,allrounder,right,pace
172,allrounder,right,pace
173,bowler,right,pace
174,bowler,right,pace
175,bowler,right,spin
176,bowler,right,spin
177,bowler,left,spin
178,bowler,right,spin
179,bowler,left,pace
