season,match,innings,over,ball,batting_team,bowling_team,venue,batter,bowler,outcome,extra,position,wickets_before,runs_before,target
0,0,1,0,0,4,7,4,78,139,0,0,0,0,0,0
0,0,1,0,1,4,7,4,78,139,0,0,0,0,0,0
0,0,1,0,2,4,7,4,78,139,0,1,0,0,0,0
0,0,1,0,3,4,7,4,78,139,0,1,0,0,1,0
0,0,1,0,4,4,7,4,78,139,W,0,0,0,2,0
0,0,1,0,5,4,7,4,72,139,0,0,2,1,2,0
0,0,1,1,0,4,7,4,73,142,0,0,1,1,2,0
0,0,1,1,1,4,7,4,73,142,1,0,1,1,2,0
0,0,1,1,2,4,7,4,72,142,1,0,2,1,3,0
0,0,1,1,3,4,7,4,73,142,0,0,1,1,4,0
0,0,1,1,4,4,7,4,73,142,0,0,1,1,4,0
0,0,1,1,5,4,7,4,73,142,0,0,1,1,4,0
0,0,1,2,0,4,7,4,72,138,4,0,2,1,4,0
0,0,1,2,1,4,7,4,72,138,0,0,2,1,8,0
0,0,1,2,2,4,7,4,72,138,1,0,2,1,8,0
0,0,1,2,3,4,7,4,73,138,4,0,1,1,9,0
0,0,1,2,4,4,7,4,73,138,0,0,1,1,13,0
0,0,1,2,5,4,7,4,73,138,0,0,1,1,13,0
0,0,1,3,0,4,7,4,72,141,4,0,2,1,13,0
0,0,1,3,1,4,7,4,72,141,0,0,2,1,17,0
0,0,1,3,2,4,7,4,72,141,6,0,2,1,17,0
0,0,1,3,3,4,7,4,72,141,1,1,2,1,23,0
0,0,1,3,4,4,7,4,73,141,0,0,1,1,25,0
0,0,1,3,5,4,7,4,73,141,2,0,1,1,25,0
0,0,1,4,0,4,7,4,72,135,1,0,2,1,27,0
0,0,1,4,1,4,7,4,73,135,4,0,1,1,28,0
0,0,1,4,2,4,7,4,73,135,0,0,1,1,32,0
0,0,1,4,3,4,7,4,73,135,1,1,1,1,32,0
0,0,1,4,4,4,7,4,72,135,0,0,2,1,34,0
0,0,1,4,5,4,7,4,72,135,1,0,2,1,34,0
0,0,1,5,0,4,7,4,72,139,1,0,2,1,35,0
0,0,1,5,1,4,7,4,73,139,0,0,1,1,36,0
0,0,1,5,2,4,7,4,73,139,0,0,1,1,36,0
0,0,1,5,3,4,7,4,73,139,1,0,1,1,36,0
0,0,1,5,4,4,7,4,72,139,6,0,2,1,37,0
0,0,1,5,5,4,7,4,72,139,4,0,2,1,43,0
0,0,1,6,0,4,7,4,73,142,1,0,1,1,47,0
0,0,1,6,1,4,7,4,72,142,1,0,2,1,48,0
0,0,1,6,2,4,7,4,73,142,1,0,1,1,49,0
0,0,1,6,3,4,7,4,72,142,0,0,2,1,50,0
0,0,1,6,4,4,7,4,72,142,1,0,2,1,50,0
0,0,1,6,5,4,7,4,73,142,1,0,1,1,51,0
0,0,1,7,0,4,7,4,73,138,1,0,1,1,52,0
0,0,1,7,1,4,7,4,72,138,1,0,2,1,53,0
0,0,1,7,2,4,7,4,73,138,1,0,1,1,54,0
0,0,1,7,3,4,7,4,72,138,1,0,2,1,55,0
0,0,1,7,4,4,7,4,73,138,1,1,1,1,56,0
0,0,1,7,5,4,7,4,72,138,6,0,2,1,58,0
0,0,1,8,0,4,7,4,73,141,1,0,1,1,64,0
0,0,1,8,1,4,7,4,72,141,0,0,2,1,65,0
0,0,1,8,2,4,7,4,72,141,0,0,2,1,65,0
0,0,1,8,3,4,7,4,72,141,0,0,2,1,65,0
0,0,1,8,4,4,7,4,72,141,4,0,2,1,65,0
0,0,1,8,5,4,7,4,72,141,4,0,2,1,69,0
0,0,1,9,0,4,7,4,73,135,1,0,1,1,73,0
0,0,1,9,1,4,7,4,72,135,0,0,2,1,74,0
0,0,1,9,2,4,7,4,72,135,1,0,2,1,74,0
0,0,1,9,3,4,7,4,73,135,4,0,1,1,75,0
0,0,1,9,4,4,7,4,73,135,1,0,1,1,79,0
0,0,1,9,5,4,7,4,72,135,2,0,2,1,80,0
0,0,1,10,0,4,7,4,73,139,0,0,1,1,82,0
0,0,1,10,1,4,7,4,73,139,1,1,1,1,82,0
0,0,1,10,2,4,7,4,72,139,1,0,2,1,84,0
0,0,1,10,3,4,7,4,73,139,1,0,1,1,85,0
0,0,1,10,4,4,7,4,72,139,0,0,2,1,86,0
0,0,1,10,5,4,7,4,72,139,4,0,2,1,86,0
0,0,1,11,0,4,7,4,73,142,1,0,1,1,90,0
0,0,1,11,1,4,7,4,72,142,1,0,2,1,91,0
0,0,1,11,2,4,7,4,73,142,0,0,1,1,92,0
0,0,1,11,3,4,7,4,73,142,1,0,1,1,92,0
0,0,1,11,4,4,7,4,72,142,6,0,2,1,93,0
0,0,1,11,5,4,7,4,72,142,1,0,2,1,99,0
0,0,1,12,0,4,7,4,72,138,0,0,2,1,100,0
0,0,1,12,1,4,7,4,72,138,0,0,2,1,100,0
0,0,1,12,2,4,7,4,72,138,0,0,2,1,100,0
0,0,1,12,3,4,7,4,72,138,1,0,2,1,100,0
0,0,1,12,4,4,7,4,73,138,2,0,1,1,101,0
0,0,1,12,5,4,7,4,73,138,1,0,1,1,103,0
0,0,1,13,0,4,7,4,73,141,1,0,1,1,104,0
0,0,1,13,1,4,7,4,72,141,1,0,2,1,105,0
0,0,1,13,2,4,7,4,73,141,1,0,1,1,106,0
0,0,1,13,3,4,7,4,72,141,1,0,2,1,107,0
0,0,1,13,4,4,7,4,73,141,1,0,1,1,108,0
0,0,1,13,5,4,7,4,72,141,2,0,2,1,109,0
0,0,1,14,0,4,7,4,73,135,0,0,1,1,111,0
0,0,1,14,1,4,7,4,73,135,1,0,1,1,111,0
0,0,1,14,2,4,7,4,72,135,4,0,2,1,112,0
0,0,1,14,3,4,7,4,72,135,4,0,2,1,116,0
0,0,1,14,4,4,7,4,72,135,0,0,2,1,120,0
0,0,1,14,5,4,7,4,72,135,1,0,2,1,120,0
0,0,1,15,0,4,7,4,72,139,0,0,2,1,121,0
0,0,1,15,1,4,7,4,72,139,4,1,2,1,121,0
0,0,1,15,2,4,7,4,72,139,1,0,2,1,126,0
0,0,1,15,3,4,7,4,73,139,4,0,1,1,127,0
0,0,1,15,4,4,7,4,73,139,4,0,1,1,131,0
0,0,1,15,5,4,7,4,73,139,1,0,1,1,135,0
0,0,1,16,0,4,7,4,73,142,0,0,1,1,136,0
0,0,1,16,1,4,7,4,73,142,0,0,1,1,136,0
0,0,1,16,2,4,7,4,73,142,1,0,1,1,136,0
0,0,1,16,3,4,7,4,72,142,1,0,2,1,137,0
0,0,1,16,4,4,7,4,73,142,1,0,1,1,138,0
0,0,1,16,5,4,7,4,72,142,6,0,2,1,139,0
0,0,1,17,0,4,7,4,73,138,2,0,1,1,145,0
0,0,1,17,1,4,7,4,73,138,6,0,1,1,147,0
0,0,1,17,2,4,7,4,73,138,1,1,1,1,153,0
0,0,1,17,3,4,7,4,72,138,1,0,2,1,155,0
0,0,1,17,4,4,7,4,73,138,2,0,1,1,156,0
0,0,1,17,5,4,7,4,73,138,6,0,1,1,158,0
0,0,1,18,0,4,7,4,72,141,4,0,2,1,164,0
0,0,1,18,1,4,7,4,72,141,1,0,2,1,168,0
0,0,1,18,2,4,7,4,73,141,1,0,1,1,169,0
0,0,1,18,3,4,7,4,72,141,W,0,2,1,170,0
0,0,1,18,4,4,7,4,74,141,6,0,3,2,170,0
0,0,1,18,5,4,7,4,74,141,0,0,3,2,176,0
0,0,1,19,0,4,7,4,73,135,2,0,1,2,176,0
0,0,1,19,1,4,7,4,73,135,1,0,1,2,178,0
0,0,1,19,2,4,7,4,74,135,1,0,3,2,179,0
0,0,1,19,3,4,7,4,73,135,2,0,1,2,180,0
0,0,1,19,4,4,7,4,73,135,6,0,1,2,182,0
0,0,1,19,5,4,7,4,73,135,6,0,1,2,188,0
0,0,2,0,0,7,4,4,130,85,0,0,0,0,0,195
0,0,2,0,1,7,4,4,130,85,4,0,0,0,0,195
0,0,2,0,2,7,4,4,130,85,0,1,0,0,4,195
0,0,2,0,3,7,4,4,130,85,1,0,0,0,5,195
0,0,2,0,4,7,4,4,129,85,2,0,1,0,6,195
0,0,2,0,5,7,4,4,129,85,2,0,1,0,8,195
0,0,2,1,0,7,4,4,130,83,1,0,0,0,10,195
0,0,2,1,1,7,4,4,129,83,0,0,1,0,11,195
0,0,2,1,2,7,4,4,129,83,0,0,1,0,11,195
0,0,2,1,3,7,4,4,129,83,W,1,1,0,11,195
0,0,2,1,4,7,4,4,126,83,4,0,2,1,12,195
0,0,2,1,5,7,4,4,126,83,1,0,2,1,16,195
0,0,2,2,0,7,4,4,126,89,0,0,2,1,17,195
0,0,2,2,1,7,4,4,126,89,0,0,2,1,17,195
0,0,2,2,2,7,4,4,126,89,1,0,2,1,17,195
0,0,2,2,3,7,4,4,130,89,0,1,0,1,18,195
0,0,2,2,4,7,4,4,130,89,4,0,0,1,19,195
0,0,2,2,5,7,4,4,130,89,1,0,0,1,23,195
0,0,2,3,0,7,4,4,130,84,0,0,0,1,24,195
0,0,2,3,1,7,4,4,130,84,0,0,0,1,24,195
0,0,2,3,2,7,4,4,130,84,0,0,0,1,24,195
0,0,2,3,3,7,4,4,130,84,4,0,0,1,24,195
0,0,2,3,4,7,4,4,130,84,0,0,0,1,28,195
0,0,2,3,5,7,4,4,130,84,0,0,0,1,28,195
0,0,2,4,0,7,4,4,126,82,0,0,2,1,28,195
0,0,2,4,1,7,4,4,126,82,1,0,2,1,28,195
0,0,2,4,2,7,4,4,130,82,0,0,0,1,29,195
0,0,2,4,3,7,4,4,130,82,1,1,0,1,29,195
0,0,2,4,4,7,4,4,126,82,1,1,2,1,31,195
0,0,2,4,5,7,4,4,130,82,1,1,0,1,33,195
0,0,2,5,0,7,4,4,130,85,1,0,0,1,35,195
0,0,2,5,1,7,4,4,126,85,W,0,2,1,36,195
0,0,2,5,2,7,4,4,128,85,2,0,3,2,36,195
0,0,2,5,3,7,4,4,128,85,0,0,3,2,38,195
0,0,2,5,4,7,4,4,128,85,0,0,3,2,38,195
0,0,2,5,5,7,4,4,128,85,1,0,3,2,38,195
0,0,2,6,0,7,4,4,128,83,0,0,3,2,39,195
0,0,2,6,1,7,4,4,128,83,4,0,3,2,39,195
0,0,2,6,2,7,4,4,128,83,1,0,3,2,43,195
0,0,2,6,3,7,4,4,130,83,1,0,0,2,44,195
0,0,2,6,4,7,4,4,128,83,0,0,3,2,45,195
0,0,2,6,5,7,4,4,128,83,1,0,3,2,45,195
0,0,2,7,0,7,4,4,128,89,0,0,3,2,46,195
0,0,2,7,1,7,4,4,128,89,4,0,3,2,46,195
0,0,2,7,2,7,4,4,128,89,1,0,3,2,50,195
