fixture,team,batting_slot,player,bowling_slot
10000,2,0,164,-1
10000,2,1,40,-1
10000,2,2,38,-1
10000,2,3,111,-1
10000,2,4,1,-1
10000,2,5,63,4
10000,2,6,44,-1
10000,2,7,47,0
10000,2,8,48,1
10000,2,9,52,2
10000,2,10,155,3
10000,5,0,92,-1
10000,5,1,95,-1
10000,5,2,108,-1
10000,5,3,109,-1
10000,5,4,96,-1
10000,5,5,100,4
10000,5,6,9,-1
10000,5,7,140,0
10000,5,8,105,1
10000,5,9,104,2
10000,5,10,177,3
10001,7,0,2,-1
10001,7,1,127,-1
10001,7,2,130,-1
10001,7,3,4,-1
10001,7,4,18,-1
10001,7,5,134,4
10001,7,6,135,-1
10001,7,7,29,0
10001,7,8,143,1
10001,7,9,31,2
10001,7,10,124,3
10001,2,0,40,-1
10001,2,1,41,-1
10001,2,2,38,-1
10001,2,3,164,-1
10001,2,4,111,-1
10001,2,5,44,4
10001,2,6,63,-1
10001,2,7,52,0
10001,2,8,125,1
10001,2,9,47,2
10001,2,10,14,3
10002,1,0,23,-1
10002,1,1,147,-1
10002,1,2,22,-1
10002,1,3,20,-1
10002,1,4,42,-1
10002,1,5,133,4
10002,1,6,26,-1
10002,1,7,33,0
10002,1,8,53,1
10002,1,9,139,2
10002,1,10,50,3
10002,7,0,2,-1
10002,7,1,127,-1
10002,7,2,5,-1
10002,7,3,4,-1
10002,7,4,130,-1
10002,7,5,45,4
10002,7,6,134,-1
10002,7,7,143,0
10002,7,8,29,1
10002,7,9,137,2
10002,7,10,124,3
10003,8,0,36,-1
10003,8,1,72,-1
10003,8,2,146,-1
10003,8,3,21,-1
10003,8,4,148,-1
10003,8,5,154,4
10003,8,6,152,-1
10003,8,7,159,0
10003,8,8,161,1
10003,8,9,157,2
10003,8,10,141,3
10003,4,0,145,-1
10003,4,1,168,-1
10003,4,2,19,-1
10003,4,3,74,-1
10003,4,4,54,-1
10003,4,5,172,4
10003,4,6,170,-1
10003,4,7,11,0
10003,4,8,178,1
10003,4,9,86,2
10003,4,10,103,3
