season,match,week,home,away,venue,toss_winner,batted_first,first_total,second_total,winner
0,0,0,4,7,4,7,4,194,174,4
0,1,0,2,7,2,2,7,176,177,2
0,2,0,7,1,7,7,1,190,172,1
0,3,0,0,5,0,0,5,135,139,0
0,4,0,6,2,6,6,2,159,157,2
0,5,0,5,9,5,9,5,227,189,5
0,6,0,0,3,0,0,3,205,200,3
0,7,0,6,8,6,8,6,176,177,8
0,8,0,8,2,8,8,2,204,176,2
0,9,0,5,2,5,5,2,248,177,2
0,10,0,7,2,7,2,7,166,168,2
0,11,0,3,9,3,9,3,209,212,9
0,12,1,2,4,2,4,2,158,161,4
0,13,1,3,0,3,3,0,168,168,3
0,14,1,4,9,4,4,9,230,207,9
0,15,1,4,3,4,4,3,151,152,4
0,16,1,2,6,2,2,6,180,115,6
0,17,1,6,3,6,6,3,209,134,3
0,18,1,5,6,5,6,5,211,197,5
0,19,1,8,1,8,8,1,252,206,1
0,20,1,9,5,9,9,5,180,178,5
0,21,1,1,8,1,1,8,156,157,1
0,22,1,2,0,2,2,0,194,115,0
0,23,1,0,4,0,4,0,155,158,4
0,24,2,9,1,9,1,9,209,182,9
0,25,2,5,1,5,1,5,217,216,5
0,26,2,5,8,5,8,5,166,128,5
0,27,2,3,4,3,3,4,249,177,4
0,28,2,7,0,7,0,7,196,187,7
0,29,2,0,6,0,0,6,161,162,0
0,30,2,0,2,0,2,0,212,176,0
0,31,2,0,7,0,7,0,212,207,0
0,32,2,8,9,8,8,9,162,147,9
0,33,2,3,6,3,6,3,162,164,6
0,34,2,9,0,9,0,9,233,213,9
0,35,2,8,4,8,4,8,175,166,8
0,36,3,7,5,7,7,5,205,164,5
0,37,3,9,2,9,9,2,139,141,9
0,38,3,6,7,6,7,6,202,149,6
0,39,3,1,3,1,3,1,170,172,3
0,40,3,4,6,4,4,6,156,157,4
0,41,3,3,2,3,2,3,202,180,3
0,42,3,5,7,5,7,5,156,157,7
0,43,3,4,2,4,4,2,120,124,4
0,44,3,4,8,4,8,4,199,180,4
0,45,3,4,1,4,1,4,199,201,1
0,46,3,1,6,1,1,6,189,194,1
0,47,3,1,5,1,5,1,206,197,1
0,48,4,6,9,6,9,6,217,218,9
0,49,4,5,0,5,5,0,215,174,0
0,50,4,8,3,8,8,3,146,147,8
0,51,4,3,5,3,5,3,106,107,5
0,52,4,1,4,1,1,4,210,191,4
0,53,4,4,0,4,4,0,137,138,4
0,54,4,6,0,6,0,6,150,153,0
0,55,4,0,1,0,0,1,225,174,1
0,56,4,9,7,9,7,9,223,217,9
0,57,4,9,4,9,4,9,181,163,9
0,58,4,2,8,2,8,2,162,161,2
0,59,4,5,3,5,3,5,228,175,5
0,60,5,6,4,6,4,6,168,172,4
0,61,5,7,8,7,8,7,154,133,7
0,62,5,2,1,2,1,2,198,199,1
0,63,5,7,3,7,3,7,140,141,3
0,64,5,7,4,7,7,4,221,205,4
0,65,5,7,6,7,7,6,134,136,7
0,66,5,4,5,4,5,4,239,241,5
0,67,5,8,6,8,6,8,236,159,8
0,68,5,1,2,1,1,2,222,195,2
0,69,5,8,0,8,8,0,130,128,0
0,70,5,3,8,3,8,3,162,163,8
0,71,5,1,0,1,1,0,176,177,1
0,72,6,1,9,1,1,9,238,239,1
0,73,6,7,9,7,9,7,158,154,7
0,74,6,3,7,3,7,3,183,181,3
0,75,6,0,9,0,9,0,181,153,0
0,76,6,2,5,2,5,2,173,178,5
0,77,6,9,6,9,6,9,205,170,9
0,78,6,2,9,2,2,9,188,161,9
0,79,6,2,3,2,2,3,181,185,2
0,80,6,8,7,8,8,7,173,134,7
0,81,6,3,1,3,1,3,210,214,1
0,82,6,9,8,9,9,8,196,195,8
0,83,6,0,8,0,8,0,194,168,0
0,84,7,8,5,8,8,5,208,170,5
0,85,7,1,7,1,1,7,228,217,7
0,86,7,6,1,6,1,6,237,235,6
0,87,7,9,3,9,3,9,229,213,9
0,88,7,6,5,6,6,5,219,220,6
0,89,7,5,4,5,4,5,219,221,4
1,90,0,8,2,8,8,2,223,198,2
1,91,0,0,7,0,7,0,179,88,0
1,92,0,3,4,3,3,4,210,186,4
1,93,0,4,2,4,2,4,192,196,2
1,94,0,2,9,2,2,9,204,186,9
1,95,0,6,2,6,2,6,165,166,2
1,96,0,7,3,7,3,7,249,243,7
1,97,0,0,1,0,1,0,150,154,1
1,98,0,0,4,0,0,4,234,191,4
1,99,0,9,8,9,8,9,236,186,9
1,100,0,6,1,6,1,6,192,183,6
1,101,0,1,5,1,1,5,157,144,5
1,102,1,3,2,3,2,3,219,218,3
1,103,1,3,1,3,1,3,224,177,3
1,104,1,4,0,4,0,4,141,144,0
1,105,1,1,0,1,1,0,190,176,0
1,106,1,2,3,2,2,3,178,182,2
1,107,1,5,0,5,5,0,186,190,5
1,108,1,8,5,8,5,8,209,170,8
1,109,1,3,8,3,8,3,215,216,8
1,110,1,6,0,6,6,0,162,163,6
1,111,1,5,8,5,8,5,195,198,8
1,112,1,0,6,0,0,6,195,196,0
1,113,1,0,8,0,8,0,185,189,8
1,114,2,2,1,2,2,1,209,210,2
1,115,2,8,7,8,7,8,201,192,8
1,116,2,9,4,9,4,9,172,176,4
1,117,2,5,1,5,1,5,116,121,1
1,118,2,8,3,8,3,8,266,264,8
1,119,2,7,9,7,7,9,158,159,7
1,120,2,2,6,2,2,6,173,177,2
1,121,2,9,1,9,1,9,182,187,1
1,122,2,1,2,1,1,2,215,122,2
1,123,2,9,0,9,9,0,152,156,9
1,124,2,8,6,8,6,8,237,210,8
