season,match,innings,over,ball,batting_team,bowling_team,venue,batter,bowler,outcome,extra,position,wickets_before,runs_before,target
0,0,1,0,0,9,2,9,165,49,0,0,0,0,0,0
0,0,1,0,1,9,2,9,165,49,0,0,0,0,0,0
0,0,1,0,2,9,2,9,165,49,2,0,0,0,0,0
0,0,1,0,3,9,2,9,165,49,0,0,0,0,2,0
0,0,1,0,4,9,2,9,165,49,1,0,0,0,2,0
0,0,1,0,5,9,2,9,162,49,0,0,1,0,3,0
0,0,1,1,0,9,2,9,165,52,0,0,0,0,3,0
0,0,1,1,1,9,2,9,165,52,1,0,0,0,3,0
0,0,1,1,2,9,2,9,162,52,W,0,1,0,4,0
0,0,1,1,3,9,2,9,168,52,4,0,2,1,4,0
0,0,1,1,4,9,2,9,168,52,0,0,2,1,8,0
0,0,1,1,5,9,2,9,168,52,W,0,2,1,8,0
0,0,1,2,0,9,2,9,165,51,0,0,0,2,8,0
0,0,1,2,1,9,2,9,165,51,0,0,0,2,8,0
0,0,1,2,2,9,2,9,165,51,4,0,0,2,8,0
0,0,1,2,3,9,2,9,165,51,2,0,0,2,12,0
0,0,1,2,4,9,2,9,165,51,1,0,0,2,14,0
0,0,1,2,5,9,2,9,163,51,1,0,3,2,15,0
0,0,1,3,0,9,2,9,163,48,2,0,3,2,16,0
0,0,1,3,1,9,2,9,163,48,4,0,3,2,18,0
0,0,1,3,2,9,2,9,163,48,0,0,3,2,22,0
0,0,1,3,3,9,2,9,163,48,0,0,3,2,22,0
0,0,1,3,4,9,2,9,163,48,0,0,3,2,22,0
0,0,1,3,5,9,2,9,163,48,1,0,3,2,22,0
0,0,1,4,0,9,2,9,163,45,W,0,3,2,23,0
0,0,1,4,1,9,2,9,166,45,2,0,4,3,23,0
0,0,1,4,2,9,2,9,166,45,W,0,4,3,25,0
0,0,1,4,3,9,2,9,170,45,0,0,5,4,25,0
0,0,1,4,4,9,2,9,170,45,1,0,5,4,25,0
0,0,1,4,5,9,2,9,165,45,1,0,0,4,26,0
0,0,1,5,0,9,2,9,165,49,2,1,0,4,27,0
0,0,1,5,1,9,2,9,165,49,4,0,0,4,30,0
0,0,1,5,2,9,2,9,165,49,0,0,0,4,34,0
0,0,1,5,3,9,2,9,165,49,1,0,0,4,34,0
0,0,1,5,4,9,2,9,170,49,0,0,5,4,35,0
0,0,1,5,5,9,2,9,170,49,0,1,5,4,35,0
0,0,1,6,0,9,2,9,165,52,1,0,0,4,36,0
0,0,1,6,1,9,2,9,170,52,0,0,5,4,37,0
0,0,1,6,2,9,2,9,170,52,4,0,5,4,37,0
0,0,1,6,3,9,2,9,170,52,0,0,5,4,41,0
0,0,1,6,4,9,2,9,170,52,0,0,5,4,41,0
0,0,1,6,5,9,2,9,170,52,1,0,5,4,41,0
0,0,1,7,0,9,2,9,170,51,1,0,5,4,42,0
0,0,1,7,1,9,2,9,165,51,2,0,0,4,43,0
0,0,1,7,2,9,2,9,165,51,1,0,0,4,45,0
0,0,1,7,3,9,2,9,170,51,0,0,5,4,46,0
0,0,1,7,4,9,2,9,170,51,1,0,5,4,46,0
0,0,1,7,5,9,2,9,165,51,2,0,0,4,47,0
0,0,1,8,0,9,2,9,170,48,1,1,5,4,49,0
0,0,1,8,1,9,2,9,165,48,W,0,0,4,51,0
0,0,1,8,2,9,2,9,172,48,1,0,6,5,51,0
0,0,1,8,3,9,2,9,170,48,0,1,5,5,52,0
0,0,1,8,4,9,2,9,170,48,0,0,5,5,53,0
0,0,1,8,5,9,2,9,170,48,0,0,5,5,53,0
0,0,1,9,0,9,2,9,172,45,0,0,6,5,53,0
0,0,1,9,1,9,2,9,172,45,1,0,6,5,53,0
0,0,1,9,2,9,2,9,170,45,2,0,5,5,54,0
0,0,1,9,3,9,2,9,170,45,0,0,5,5,56,0
0,0,1,9,4,9,2,9,170,45,0,0,5,5,56,0
0,0,1,9,5,9,2,9,170,45,1,0,5,5,56,0
0,0,1,10,0,9,2,9,170,49,1,0,5,5,57,0
0,0,1,10,1,9,2,9,172,49,0,0,6,5,58,0
0,0,1,10,2,9,2,9,172,49,0,0,6,5,58,0
0,0,1,10,3,9,2,9,172,49,1,0,6,5,58,0
0,0,1,10,4,9,2,9,170,49,0,0,5,5,59,0
0,0,1,10,5,9,2,9,170,49,0,0,5,5,59,0
