fixture,team,batting_slot,player,bowling_slot
10000,4,0,72,-1
10000,4,1,76,-1
10000,4,2,37,-1
10000,4,3,75,-1
10000,4,4,74,-1
10000,4,5,80,4
10000,4,6,79,-1
10000,4,7,35,0
10000,4,8,12,1
10000,4,9,87,2
10000,4,10,11,3
10000,8,0,146,-1
10000,8,1,144,-1
10000,8,2,147,-1
10000,8,3,21,-1
10000,8,4,164,-1
10000,8,5,154,4
10000,8,6,98,-1
10000,8,7,47,0
10000,8,8,156,1
10000,8,9,105,2
10000,8,10,159,3
10001,1,0,128,-1
10001,1,1,110,-1
10001,1,2,42,-1
10001,1,3,18,-1
10001,1,4,19,-1
10001,1,5,25,4
10001,1,6,81,-1
10001,1,7,31,0
10001,1,8,66,1
10001,1,9,155,2
10001,1,10,29,3
10001,2,0,2,-1
10001,2,1,78,-1
10001,2,2,36,-1
10001,2,3,126,-1
10001,2,4,41,-1
10001,2,5,45,4
10001,2,6,44,-1
10001,2,7,49,0
10001,2,8,51,1
10001,2,9,53,2
10001,2,10,179,3
10002,9,0,166,-1
10002,9,1,111,-1
10002,9,2,167,-1
10002,9,3,168,-1
10002,9,4,59,-1
10002,9,5,9,4
10002,9,6,172,-1
10002,9,7,176,0
10002,9,8,173,1
10002,9,9,160,2
10002,9,10,158,3
10002,2,0,36,-1
10002,2,1,2,-1
10002,2,2,4,-1
10002,2,3,78,-1
10002,2,4,41,-1
10002,2,5,44,4
10002,2,6,43,-1
10002,2,7,179,0
10002,2,8,51,1
10002,2,9,50,2
10002,2,10,49,3
10003,6,0,113,-1
10003,6,1,95,-1
10003,6,2,112,-1
10003,6,3,114,-1
10003,6,4,129,-1
10003,6,5,115,4
10003,6,6,118,-1
10003,6,7,83,0
10003,6,8,124,1
10003,6,9,120,2
10003,6,10,119,3
10003,3,0,58,-1
10003,3,1,148,-1
10003,3,2,23,-1
10003,3,3,54,-1
10003,3,4,108,-1
10003,3,5,61,4
10003,3,6,62,-1
10003,3,7,84,0
10003,3,8,70,1
10003,3,9,137,2
10003,3,10,30,3
10004,2,0,126,-1
10004,2,1,4,-1
10004,2,2,2,-1
10004,2,3,41,-1
10004,2,4,36,-1
10004,2,5,43,4
10004,2,6,44,-1
10004,2,7,53,0
10004,2,8,49,1
10004,2,9,51,2
10004,2,10,50,3
10004,1,0,19,-1
10004,1,1,42,-1
10004,1,2,18,-1
10004,1,3,3,-1
10004,1,4,55,-1
10004,1,5,63,4
10004,1,6,25,-1
10004,1,7,66,0
10004,1,8,34,1
10004,1,9,32,2
10004,1,10,155,3
10005,9,0,167,-1
10005,9,1,59,-1
10005,9,2,166,-1
10005,9,3,111,-1
10005,9,4,168,-1
10005,9,5,9,4
10005,9,6,152,-1
10005,9,7,102,0
10005,9,8,176,1
10005,9,9,178,2
10005,9,10,173,3
10005,6,0,129,-1
10005,6,1,109,-1
10005,6,2,112,-1
10005,6,3,95,-1
10005,6,4,113,-1
10005,6,5,117,4
10005,6,6,115,-1
10005,6,7,119,0
10005,6,8,125,1
10005,6,9,120,2
10005,6,10,122,3
10006,7,0,40,-1
10006,7,1,149,-1
10006,7,2,73,-1
