player,role,hand,bowling_style
0,batter,right,pace
1,batter,right,pace
2,batter,left,spin
3,batter,right,pace
4,batter,left,pace
5,batter,left,pace
6,batter,right,pace
7,allrounder,right,pace
8,allrounder,left,spin
9,allrounder,right,pace
10,allrounder,right,pace
11,bowler,left,spin
12,bowler,right,spin
13,bowler,right,spin
14,bowler,right,pace
15,bowler,right,spin
16,bowler,right,pace
17,bowler,right,spin
18,batter,left,pace
19,batter,right,pace
20,batter,right,pace
21,batter,right,spin
22,batter,right,pace
23,batter,left,pace
24,batter,left,spin
25,allrounder,right,spin
26,allrounder,left,pace
27,allrounder,right,spin
28,allrounder,right,spin
29,bowler,left,pace
30,bowler,left,pace
31,bowler,left,spin
32,bowler,right,spin
33,bowler,left,pace
34,bowler,right,pace
35,bowler,left,pace
36,batter,right,spin
37,batter,right,spin
38,batter,right,pace
39,batter,left,pace
40,batter,left,spin
41,batter,left,spin
42,batter,right,pace
43,allrounder,right,pace
44,allrounder,right,pace
45,allrounder,right,pace
46,allrounder,right,spin
47,bowler,right,pace
48,bowler,right,spin
49,bowler,left,spin
50,bowler,left,spin
51,bowler,right,spin
52,bowler,right,spin
53,bowler,right,pace
54,batter,right,pace
55,batter,right,spin
56,batter,right,pace
57,batter,right,pace
58,batter,right,pace
59,batter,right,pace
60,batter,right,spin
61,allrounder,right,spin
62,allrounder,right,pace
63,allrounder,right,pace
64,allrounder,right,spin
65,bowler,right,spin
66,bowler,right,pace
67,bowler,right,spin
68,bowler,right,pace
69,bowler,right,spin
70,bowler,right,spin
71,bowler,right,spin
72,batter,right,pace
73,batter,right,spin
74,batter,left,spin
75,batter,left,pace
76,batter,left,spin
77,batter,right,pace
78,batter,right,pace
79,allrounder,left,spin
80,allrounder,right,spin
81,allrounder,right,spin
82,allrounder,right,spin
83,bowler,left,spin
84,bowler,right,spin
85,bowler,right,spin
86,bowler,left,spin
87,bowler,right,spin
88,bowler,left,pace
89,bowler,right,spin
90,batter,left,spin
91,batter,right,pace
92,batter,right,spin
93,batter,left,pace
94,batter,right,pace
95,batter,right,pace
96,batter,right,pace
97,allrounder,right,spin
98,allrounder,right,spin
99,allrounder,right,pace
100,allrounder,right,spin
101,bowler,right,pace
102,bowler,left,pace
103,bowler,right,spin
104,bowler,right,spin
105,bowler,right,spin
106,bowler,right,pace
107,bowler,left,pace
108,batter,right,pace
109,batter,right,pace
110,batter,right,pace
111,batter,right,spin
112,batter,left,pace
113,batter,right,pace
114,batter,right,pace
115,allrounder,right,spin
116,allrounder,right,pace
117,allrounder,right,pace
118,allrounder,right,pace
119,bowler,left,pace
120,bowler,right,spin
121,bowler,right,pace
122,bowler,left,pace
123,bowler,left,pace
124,bowler,right,pace
125,bowler,left,pace
126,batter,right,pace
127,batter,right,spin
128,batter,right,spin
129,batter,right,pace
130,batter,right,spin
131,batter,left,pace
132,batter,right,pace
133,allrounder,right,spin
134,allrounder,left,pace
135,allrounder,left,spin
136,allrounder,right,pace
137,bowler,left,pace
138,bowler,left,pace
139,bowler,left,pace
140,bowler,left,spin
141,bowler,right,spin
142,bowler,right,spin
143,bowler,right,pace
144,batter,left,pace
145,batter,right,pace
146,batter,left,pace
147,batter,right,spin
148,batter,right,spin
149,batter,right,pace
150,batter,right,pace
151,allrounder,right,spin
152,allrounder,right,pace
153,allrounder,right,spin
154,allrounder,right,pace
155,bowler,right,pace
156,bowler,right,pace
157,bowler,right,pace
158,bowler,left,spin
159,bowler,right,pace
160,bowler,right,pace
161,bowler,left,pace
162,batter,right,spin
163,batter,left,spin
164,batter,right,pace
165,batter,right,spin
166,batter,left,pace
167,batter,right,pace
168,batter,right,spin
169,allrounder,left,spin
170,allrounder,left,pace
171,allrounder,right,spin
172,allrounder,right,spin
173,bowler,right,pace
174,bowler,right,spin
175,bowler,right,pace
176,bowler,left,pace
177,bowler,right,spin
178,bowler,right,pace
179,bowler,right,pace
