season,match,innings,over,ball,batting_team,bowling_team,venue,batter,bowler,outcome,extra,position,wickets_before,runs_before,target
0,0,1,0,0,2,8,8,36,155,0,1,0,0,0,0
0,0,1,0,1,2,8,8,36,155,0,0,0,0,1,0
0,0,1,0,2,2,8,8,36,155,W,1,0,0,1,0
0,0,1,0,3,2,8,8,42,155,4,0,2,1,2,0
0,0,1,0,4,2,8,8,42,155,4,0,2,1,6,0
0,0,1,0,5,2,8,8,42,155,4,0,2,1,10,0
0,0,1,1,0,2,8,8,37,156,0,0,1,1,14,0
0,0,1,1,1,2,8,8,37,156,0,0,1,1,14,0
0,0,1,1,2,2,8,8,37,156,1,1,1,1,14,0
0,0,1,1,3,2,8,8,42,156,0,0,2,1,16,0
0,0,1,1,4,2,8,8,42,156,W,0,2,1,16,0
0,0,1,1,5,2,8,8,39,156,1,0,3,2,16,0
0,0,1,2,0,2,8,8,39,158,0,0,3,2,17,0
0,0,1,2,1,2,8,8,39,158,0,0,3,2,17,0
0,0,1,2,2,2,8,8,39,158,1,0,3,2,17,0
0,0,1,2,3,2,8,8,37,158,1,0,1,2,18,0
0,0,1,2,4,2,8,8,39,158,0,0,3,2,19,0
0,0,1,2,5,2,8,8,39,158,6,0,3,2,19,0
0,0,1,3,0,2,8,8,37,160,6,0,1,2,25,0
0,0,1,3,1,2,8,8,37,160,6,0,1,2,31,0
0,0,1,3,2,2,8,8,37,160,1,0,1,2,37,0
0,0,1,3,3,2,8,8,39,160,4,0,3,2,38,0
0,0,1,3,4,2,8,8,39,160,0,1,3,2,42,0
0,0,1,3,5,2,8,8,39,160,4,0,3,2,43,0
0,0,1,4,0,2,8,8,37,154,0,0,1,2,47,0
0,0,1,4,1,2,8,8,37,154,1,0,1,2,47,0
0,0,1,4,2,2,8,8,39,154,6,0,3,2,48,0
0,0,1,4,3,2,8,8,39,154,0,0,3,2,54,0
0,0,1,4,4,2,8,8,39,154,2,0,3,2,54,0
0,0,1,4,5,2,8,8,39,154,1,0,3,2,56,0
0,0,1,5,0,2,8,8,39,155,0,0,3,2,57,0
0,0,1,5,1,2,8,8,39,155,0,0,3,2,57,0
0,0,1,5,2,2,8,8,39,155,0,0,3,2,57,0
0,0,1,5,3,2,8,8,39,155,1,0,3,2,57,0
0,0,1,5,4,2,8,8,37,155,4,0,1,2,58,0
0,0,1,5,5,2,8,8,37,155,1,0,1,2,62,0
