fixture,team,batting_slot,player,bowling_slot
10000,5,0,92,-1
10000,5,1,95,-1
10000,5,2,167,-1
10000,5,3,93,-1
10000,5,4,96,-1
10000,5,5,98,4
10000,5,6,116,-1
10000,5,7,32,0
10000,5,8,104,1
10000,5,9,105,2
10000,5,10,137,3
10000,1,0,19,-1
10000,1,1,56,-1
10000,1,2,128,-1
10000,1,3,60,-1
10000,1,4,108,-1
10000,1,5,117,4
10000,1,6,63,-1
10000,1,7,29,0
10000,1,8,71,1
10000,1,9,156,2
10000,1,10,119,3
10001,7,0,131,-1
10001,7,1,113,-1
10001,7,2,149,-1
10001,7,3,129,-1
10001,7,4,168,-1
10001,7,5,28,4
10001,7,6,136,-1
10001,7,7,143,0
10001,7,8,35,1
10001,7,9,138,2
10001,7,10,52,3
10001,9,0,18,-1
10001,9,1,150,-1
10001,9,2,147,-1
10001,9,3,94,-1
10001,9,4,76,-1
10001,9,5,7,4
10001,9,6,169,-1
10001,9,7,178,0
10001,9,8,49,1
10001,9,9,173,2
10001,9,10,179,3
10002,6,0,112,-1
10002,6,1,23,-1
10002,6,2,90,-1
10002,6,3,111,-1
10002,6,4,110,-1
10002,6,5,44,4
10002,6,6,118,-1
10002,6,7,122,0
10002,6,8,121,1
10002,6,9,158,2
10002,6,10,124,3
10002,9,0,76,-1
10002,9,1,94,-1
10002,9,2,164,-1
10002,9,3,147,-1
10002,9,4,18,-1
10002,9,5,7,4
10002,9,6,171,-1
10002,9,7,179,0
10002,9,8,178,1
10002,9,9,175,2
10002,9,10,49,3
10003,4,0,163,-1
10003,4,1,77,-1
10003,4,2,166,-1
10003,4,3,72,-1
10003,4,4,73,-1
10003,4,5,46,4
10003,4,6,82,-1
10003,4,7,174,0
10003,4,8,86,1
10003,4,9,83,2
10003,4,10,87,3
10003,5,0,91,-1
10003,5,1,57,-1
10003,5,2,95,-1
10003,5,3,93,-1
10003,5,4,96,-1
10003,5,5,116,4
10003,5,6,8,-1
10003,5,7,32,0
10003,5,8,106,1
10003,5,9,103,2
10003,5,10,137,3
10004,3,0,126,-1
10004,3,1,22,-1
10004,3,2,109,-1
10004,3,3,58,-1
10004,3,4,59,-1
10004,3,5,62,4
10004,3,6,61,-1
10004,3,7,69,0
10004,3,8,53,1
10004,3,9,89,2
10004,3,10,85,3
10004,8,0,146,-1
10004,8,1,165,-1
10004,8,2,127,-1
10004,8,3,145,-1
10004,8,4,144,-1
10004,8,5,97,4
10004,8,6,152,-1
10004,8,7,159,0
10004,8,8,13,1
10004,8,9,11,2
10004,8,10,66,3
10005,1,0,108,-1
10005,1,1,19,-1
10005,1,2,56,-1
10005,1,3,60,-1
10005,1,4,21,-1
10005,1,5,63,4
10005,1,6,25,-1
10005,1,7,71,0
10005,1,8,156,1
10005,1,9,34,2
10005,1,10,161,3
10005,2,0,130,-1
10005,2,1,148,-1
10005,2,2,36,-1
10005,2,3,40,-1
10005,2,4,38,-1
10005,2,5,26,4
10005,2,6,43,-1
10005,2,7,84,0
10005,2,8,125,1
10005,2,9,48,2
10005,2,10,157,3
10006,1,0,60,-1
10006,1,1,42,-1
10006,1,2,19,-1
10006,1,3,108,-1
10006,1,4,21,-1
10006,1,5,63,4
10006,1,6,27,-1
10006,1,7,29,0
10006,1,8,141,1
10006,1,9,156,2
10006,1,10,119,3
10006,6,0,23,-1
10006,6,1,111,-1
10006,6,2,0,-1
10006,6,3,112,-1
10006,6,4,6,-1
10006,6,5,153,4
10006,6,6,44,-1
10006,6,7,107,0
10006,6,8,158,1
10006,6,9,123,2
10006,6,10,124,3
10007,7,0,132,-1
10007,7,1,129,-1
10007,7,2,114,-1
10007,7,3,168,-1
10007,7,4,131,-1
10007,7,5,133,4
10007,7,6,135,-1
10007,7,7,143,0
10007,7,8,140,1
10007,7,9,35,2
10007,7,10,52,3
10007,4,0,166,-1
10007,4,1,74,-1
10007,4,2,77,-1
10007,4,3,73,-1
10007,4,4,163,-1
10007,4,5,100,4
10007,4,6,82,-1
10007,4,7,33,0
10007,4,8,86,1
10007,4,9,83,2
10007,4,10,177,3
10008,5,0,167,-1
10008,5,1,96,-1
10008,5,2,91,-1
10008,5,3,93,-1
10008,5,4,57,-1
10008,5,5,116,4
10008,5,6,99,-1
10008,5,7,104,0
10008,5,8,32,1
10008,5,9,105,2
10008,5,10,103,3
10008,8,0,145,-1
10008,8,1,144,-1
10008,8,2,127,-1
10008,8,3,146,-1
10008,8,4,165,-1
10008,8,5,154,4
10008,8,6,9,-1
10008,8,7,160,0
