season,match,week,home,away,venue,toss_winner,batted_first,first_total,second_total,winner
0,0,0,8,2,8,8,2,196,172,2
0,1,0,1,9,1,9,1,150,152,9
0,2,0,3,4,3,4,3,194,155,3
0,3,0,2,8,2,8,2,167,148,2
0,4,0,5,6,5,5,6,207,198,6
0,5,0,4,1,4,1,4,207,170,4
0,6,0,1,7,1,7,1,228,126,1
0,7,0,7,6,7,6,7,192,193,6
0,8,0,5,2,5,2,5,218,191,5
0,9,0,0,4,0,4,0,162,168,4
0,10,0,2,0,2,2,0,190,191,2
0,11,0,8,4,8,8,4,142,144,8
0,12,1,3,5,3,5,3,202,194,3
0,13,1,0,8,0,8,0,193,194,8
0,14,1,5,7,5,5,7,172,173,5
0,15,1,1,3,1,1,3,204,175,3
0,16,1,4,2,4,2,4,180,167,4
0,17,1,3,1,3,1,3,222,204,3
0,18,1,6,2,6,6,2,171,157,2
0,19,1,2,6,2,2,6,181,167,6
0,20,1,9,7,9,9,7,176,158,7
0,21,1,6,1,6,6,1,117,118,6
0,22,1,8,0,8,0,8,189,147,8
0,23,1,6,3,6,6,3,174,176,6
0,24,2,5,8,5,8,5,215,150,5
0,25,2,4,3,4,3,4,214,175,4
0,26,2,9,1,9,9,1,170,157,1
0,27,2,1,6,1,6,1,224,214,1
0,28,2,9,5,9,5,9,172,141,9
0,29,2,8,9,8,9,8,150,151,9
0,30,2,7,4,7,4,7,167,171,4
0,31,2,8,5,8,5,8,171,172,5
0,32,2,1,2,1,2,1,187,188,2
0,33,2,5,9,5,5,9,168,169,5
0,34,2,6,9,6,9,6,180,181,9
0,35,2,9,3,9,9,3,188,194,9
0,36,3,0,3,0,0,3,199,205,0
0,37,3,7,8,7,8,7,172,120,7
0,38,3,7,3,7,7,3,106,108,7
0,39,3,0,9,0,0,9,205,164,9
0,40,3,4,9,4,9,4,186,148,4
0,41,3,0,5,0,0,5,204,169,5
0,42,3,3,6,3,3,6,193,188,6
0,43,3,6,4,6,4,6,130,131,4
0,44,3,3,8,3,3,8,238,242,3
0,45,3,2,9,2,2,9,178,131,9
0,46,3,5,4,5,4,5,132,133,4
0,47,3,9,4,9,4,9,187,168,9
0,48,4,2,3,2,3,2,171,175,3
0,49,4,8,3,8,8,3,181,182,8
0,50,4,0,2,0,0,2,203,173,2
0,51,4,8,6,8,6,8,193,195,6
0,52,4,7,2,7,2,7,78,79,2
0,53,4,8,7,8,8,7,157,163,8
0,54,4,0,6,0,0,6,199,204,0
0,55,4,4,8,4,8,4,197,183,4
0,56,4,1,5,1,1,5,198,201,1
0,57,4,4,6,4,4,6,142,114,6
0,58,4,6,0,6,6,0,124,128,6
0,59,4,9,2,9,2,9,194,195,2
0,60,5,1,0,1,1,0,135,138,1
0,61,5,9,6,9,9,6,131,132,9
0,62,5,1,8,1,8,1,189,191,8
0,63,5,0,7,0,7,0,180,139,0
0,64,5,2,1,2,1,2,169,173,1
0,65,5,7,0,7,0,7,212,160,7
0,66,5,4,5,4,5,4,198,199,5
0,67,5,6,7,6,6,7,178,179,6
0,68,5,5,3,5,3,5,170,171,3
0,69,5,7,1,7,1,7,164,165,1
0,70,5,2,4,2,2,4,188,191,2
0,71,5,9,0,9,0,9,209,204,9
0,72,6,5,0,5,0,5,187,113,5
0,73,6,3,2,3,2,3,159,160,2
0,74,6,2,7,2,7,2,169,171,7
0,75,6,4,7,4,7,4,177,132,4
0,76,6,5,1,5,1,5,211,212,1
0,77,6,0,1,0,0,1,235,210,1
0,78,6,6,8,6,6,8,147,151,6
0,79,6,3,0,3,3,0,192,175,0
0,80,6,7,9,7,7,9,181,166,9
0,81,6,3,7,3,7,3,225,213,3
0,82,6,1,4,1,1,4,181,178,4
0,83,6,9,8,9,9,8,162,156,8
0,84,7,3,9,3,3,9,196,197,3
0,85,7,8,1,8,8,1,178,180,8
0,86,7,7,5,7,7,5,156,157,7
0,87,7,2,5,2,5,2,246,249,5
0,88,7,4,0,4,4,0,222,223,4
0,89,7,6,5,6,5,6,224,169,6
1,90,0,8,7,8,8,7,214,144,7
1,91,0,1,4,1,1,4,200,125,4
1,92,0,4,1,4,1,4,155,157,1
1,93,0,9,4,9,9,4,205,158,4
1,94,0,8,4,8,4,8,187,181,8
1,95,0,0,5,0,0,5,189,196,0
1,96,0,8,9,8,8,9,186,188,8
1,97,0,0,2,0,0,2,185,159,2
1,98,0,9,2,9,9,2,187,175,2
1,99,0,2,5,2,5,2,199,201,5
1,100,0,6,0,6,6,0,123,124,6
1,101,0,3,0,3,0,3,181,182,0
1,102,1,1,8,1,8,1,173,154,1
1,103,1,6,2,6,6,2,206,173,2
1,104,1,6,4,6,4,6,182,177,6
1,105,1,0,1,0,0,1,180,183,0
1,106,1,6,8,6,6,8,133,136,6
1,107,1,9,7,9,9,7,179,180,9
1,108,1,5,3,5,5,3,166,167,5
1,109,1,1,5,1,5,1,204,198,1
1,110,1,7,0,7,7,0,179,183,7
1,111,1,1,0,1,1,0,222,137,0
1,112,1,3,1,3,3,1,226,189,1
1,113,1,3,8,3,8,3,194,117,3
1,114,2,2,6,2,6,2,154,155,6
1,115,2,8,3,8,3,8,114,115,3
1,116,2,4,8,4,4,8,160,161,4
1,117,2,7,9,7,9,7,159,163,9
1,118,2,9,5,9,5,9,203,196,9
1,119,2,0,4,0,0,4,182,186,0
1,120,2,6,9,6,6,9,167,168,6
1,121,2,6,1,6,6,1,207,102,1
1,122,2,1,6,1,6,1,208,210,6
1,123,2,1,7,1,7,1,172,176,7
1,124,2,1,3,1,3,1,269,253,1
1,125,2,3,5,3,5,3,177,181,5
1,126,3,7,5,7,7,5,212,213,7
1,127,3,5,4,5,4,5,154,151,5
1,128,3,0,8,0,8,0,230,207,0
1,129,3,9,3,9,3,9,193,176,9
1,130,3,3,2,3,2,3,138,139,2
1,131,3,4,3,4,3,4,222,221,4
1,132,3,5,6,5,5,6,168,169,5
1,133,3,7,1,7,1,7,213,214,1
1,134,3,4,2,4,4,2,202,206,4
1,135,3,5,9,5,5,9,207,144,9
1,136,3,4,9,4,9,4,184,185,9
1,137,3,7,8,7,8,7,150,152,8
1,138,4,2,3,2,3,2,240,172,2
1,139,4,5,8,5,8,5,206,133,5
1,140,4,7,6,7,7,6,228,210,6
1,141,4,8,2,8,2,8,215,140,8
1,142,4,0,6,0,6,0,267,222,0
1,143,4,4,6,4,6,4,223,210,4
1,144,4,2,0,2,2,0,156,157,2
1,145,4,2,1,2,2,1,284,203,1
1,146,4,9,0,9,9,0,233,205,0
1,147,4,3,4,3,3,4,200,146,4
1,148,4,0,7,0,7,0,195,199,7
1,149,4,3,6,3,3,6,224,201,6
1,150,5,7,4,7,7,4,192,149,4
1,151,5,6,7,6,6,7,100,104,6
1,152,5,9,8,9,9,8,131,136,9
1,153,5,8,6,8,8,6,182,183,8
1,154,5,2,7,2,2,7,141,142,2
1,155,5,7,3,7,3,7,192,197,3
1,156,5,8,1,8,8,1,206,210,8
1,157,5,5,7,5,5,7,175,148,7
1,158,5,8,5,8,5,8,171,173,5
1,159,5,5,0,5,0,5,199,178,5
1,160,5,6,3,6,6,3,187,179,3
1,161,5,0,9,0,9,0,201,179,0
1,162,6,6,5,6,5,6,178,173,6
1,163,6,2,4,2,4,2,184,168,2
1,164,6,1,2,1,1,2,204,205,1
1,165,6,7,2,7,2,7,206,179,7
1,166,6,5,1,5,1,5,146,121,5
1,167,6,0,3,0,3,0,149,150,3
1,168,6,1,9,1,1,9,244,221,9
1,169,6,2,9,2,2,9,181,187,2
1,170,6,3,9,3,3,9,173,175,3
1,171,6,9,6,9,6,9,174,161,9
1,172,6,9,1,9,1,9,178,169,9
1,173,6,2,8,2,8,2,174,177,8
1,174,7,4,7,4,4,7,227,226,7
1,175,7,4,5,4,4,5,239,243,4
1,176,7,3,7,3,7,3,236,157,3
1,177,7,8,0,8,8,0,214,133,0
1,178,7,5,2,5,5,2,202,168,2
1,179,7,4,0,4,0,4,134,112,4
2,180,0,4,2,4,2,4,123,124,2
2,181,0,6,4,6,6,4,196,201,6
2,182,0,6,8,6,6,8,155,156,6
2,183,0,5,1,5,1,5,219,220,1
2,184,0,6,5,6,5,6,202,181,6
2,185,0,2,1,2,2,1,189,168,1
2,186,0,3,8,3,3,8,342,334,8
2,187,0,4,1,4,1,4,182,183,1
2,188,0,5,9,5,5,9,219,202,9
2,189,0,0,5,0,0,5,215,220,0
2,190,0,1,0,1,1,0,172,176,1
2,191,0,3,0,3,0,3,194,106,3
2,192,1,3,7,3,3,7,258,242,7
2,193,1,7,6,7,7,6,190,158,6
2,194,1,1,6,1,6,1,195,195,1
2,195,1,3,5,3,5,3,205,209,5
2,196,1,9,8,9,9,8,155,159,9
2,197,1,4,9,4,9,4,170,174,9
2,198,1,2,6,2,6,2,230,177,2
2,199,1,9,1,9,1,9,175,165,9
2,200,1,9,7,9,9,7,189,192,9
2,201,1,8,5,8,8,5,148,150,8
2,202,1,6,2,6,6,2,125,131,6
2,203,1,6,0,6,6,0,195,199,6
2,204,2,9,6,9,6,9,190,182,9
2,205,2,9,0,9,0,9,195,197,0
2,206,2,3,4,3,3,4,195,199,3
2,207,2,1,4,1,1,4,162,163,1
2,208,2,2,5,2,5,2,217,193,2
2,209,2,7,8,7,7,8,205,209,7
2,210,2,4,6,4,4,6,207,209,4
2,211,2,3,1,3,3,1,158,159,3
2,212,2,1,2,1,2,1,204,177,1
2,213,2,8,7,8,7,8,228,230,7
2,214,2,9,4,9,4,9,176,177,4
2,215,2,2,9,2,2,9,175,155,9
2,216,3,2,4,2,2,4,192,194,2
2,217,3,0,7,0,7,0,253,181,0
2,218,3,8,2,8,2,8,167,168,2
2,219,3,8,9,8,8,9,249,198,9
2,220,3,7,4,7,7,4,171,162,4
2,221,3,0,3,0,0,3,212,105,3
2,222,3,7,1,7,1,7,224,225,1
2,223,3,4,3,4,3,4,132,133,3
2,224,3,9,3,9,9,3,220,204,3
2,225,3,7,5,7,5,7,226,227,5
2,226,3,0,2,0,2,0,285,262,0
2,227,3,8,3,8,8,3,207,209,8
2,228,4,4,7,4,7,4,172,174,7
2,229,4,4,0,4,4,0,190,194,4
2,230,4,5,4,5,4,5,224,226,4
2,231,4,4,8,4,8,4,221,224,8
2,232,4,5,2,5,2,5,213,215,2
2,233,4,3,9,3,9,3,248,226,3
2,234,4,2,8,2,2,8,139,140,2
2,235,4,7,9,7,7,9,243,164,9
2,236,4,0,9,0,0,9,257,232,9
2,237,4,9,5,9,5,9,275,187,9
2,238,4,5,6,5,5,6,216,217,5
2,239,4,0,1,0,1,0,214,210,0
2,240,5,5,7,5,7,5,205,207,7
2,241,5,0,4,0,4,0,172,173,4
2,242,5,2,3,2,3,2,161,166,3
2,243,5,1,8,1,1,8,165,170,1
2,244,5,7,0,7,0,7,146,148,0
2,245,5,8,1,8,8,1,160,161,8
2,246,5,6,7,6,7,6,166,165,6
2,247,5,0,8,0,0,8,175,120,8
2,248,5,9,2,9,2,9,181,178,9
2,249,5,3,6,3,6,3,167,170,6
2,250,5,8,0,8,0,8,225,229,0
2,251,5,6,3,6,6,3,198,199,6
2,252,6,5,3,5,5,3,151,129,3
2,253,6,2,7,2,7,2,287,292,7
2,254,6,7,3,7,7,3,181,107,3
2,255,6,4,5,4,4,5,189,118,5
2,256,6,8,6,8,6,8,205,160,8
2,257,6,7,2,7,7,2,190,153,2
2,258,6,1,3,1,3,1,145,146,3
2,259,6,8,4,8,4,8,229,211,8
2,260,6,3,2,3,3,2,158,159,3
2,261,6,0,6,0,0,6,185,189,0
2,262,6,5,0,5,5,0,162,167,5
2,263,6,1,9,1,1,9,176,177,1
2,264,7,6,9,6,9,6,188,171,6
2,265,7,6,1,6,6,1,189,174,1
2,266,7,1,7,1,1,7,205,174,7
2,267,7,2,0,2,0,2,207,210,0
2,268,7,1,5,1,5,1,168,168,5
2,269,7,5,8,5,8,5,198,203,8
