season,match,innings,over,ball,batting_team,bowling_team,venue,batter,bowler,outcome,extra,position,wickets_before,runs_before,target
0,0,1,0,0,8,4,8,149,85,4,0,0,0,0,0
0,0,1,0,1,8,4,8,149,85,0,0,0,0,4,0
0,0,1,0,2,8,4,8,149,85,0,0,0,0,4,0
0,0,1,0,3,8,4,8,149,85,4,0,0,0,4,0
0,0,1,0,4,8,4,8,149,85,2,0,0,0,8,0
0,0,1,0,5,8,4,8,149,85,0,0,0,0,10,0
0,0,1,1,0,8,4,8,145,86,4,0,1,0,10,0
0,0,1,1,1,8,4,8,145,86,0,0,1,0,14,0
0,0,1,1,2,8,4,8,145,86,4,0,1,0,14,0
0,0,1,1,3,8,4,8,145,86,0,0,1,0,18,0
0,0,1,1,4,8,4,8,145,86,1,0,1,0,18,0
0,0,1,1,5,8,4,8,149,86,4,0,0,0,19,0
0,0,1,2,0,8,4,8,145,89,6,0,1,0,23,0
0,0,1,2,1,8,4,8,145,89,6,0,1,0,29,0
0,0,1,2,2,8,4,8,145,89,0,0,1,0,35,0
0,0,1,2,3,8,4,8,145,89,4,0,1,0,35,0
0,0,1,2,4,8,4,8,145,89,0,0,1,0,39,0
0,0,1,2,5,8,4,8,145,89,6,0,1,0,39,0
0,0,1,3,0,8,4,8,149,84,0,0,0,0,45,0
0,0,1,3,1,8,4,8,149,84,0,0,0,0,45,0
0,0,1,3,2,8,4,8,149,84,1,0,0,0,45,0
0,0,1,3,3,8,4,8,145,84,1,0,1,0,46,0
0,0,1,3,4,8,4,8,149,84,0,0,0,0,47,0
0,0,1,3,5,8,4,8,149,84,0,0,0,0,47,0
0,0,1,4,0,8,4,8,145,80,W,0,1,0,47,0
0,0,1,4,1,8,4,8,148,80,0,0,2,1,47,0
0,0,1,4,2,8,4,8,148,80,4,0,2,1,47,0
0,0,1,4,3,8,4,8,148,80,0,0,2,1,51,0
0,0,1,4,4,8,4,8,148,80,0,0,2,1,51,0
0,0,1,4,5,8,4,8,148,80,0,0,2,1,51,0
0,0,1,5,0,8,4,8,149,85,4,0,0,1,51,0
0,0,1,5,1,8,4,8,149,85,0,0,0,1,55,0
0,0,1,5,2,8,4,8,149,85,1,0,0,1,55,0
0,0,1,5,3,8,4,8,148,85,1,0,2,1,56,0
0,0,1,5,4,8,4,8,149,85,0,0,0,1,57,0
0,0,1,5,5,8,4,8,149,85,6,0,0,1,57,0
0,0,1,6,0,8,4,8,148,86,0,0,2,1,63,0
0,0,1,6,1,8,4,8,148,86,2,0,2,1,63,0
0,0,1,6,2,8,4,8,148,86,1,0,2,1,65,0
0,0,1,6,3,8,4,8,149,86,0,0,0,1,66,0
0,0,1,6,4,8,4,8,149,86,2,0,0,1,66,0
0,0,1,6,5,8,4,8,149,86,1,0,0,1,68,0
0,0,1,7,0,8,4,8,149,89,4,0,0,1,69,0
0,0,1,7,1,8,4,8,149,89,6,0,0,1,73,0
0,0,1,7,2,8,4,8,149,89,1,0,0,1,79,0
0,0,1,7,3,8,4,8,148,89,1,0,2,1,80,0
0,0,1,7,4,8,4,8,149,89,1,0,0,1,81,0
0,0,1,7,5,8,4,8,148,89,0,0,2,1,82,0
0,0,1,8,0,8,4,8,149,84,1,0,0,1,82,0
0,0,1,8,1,8,4,8,148,84,1,0,2,1,83,0
0,0,1,8,2,8,4,8,149,84,1,0,0,1,84,0
0,0,1,8,3,8,4,8,148,84,1,0,2,1,85,0
0,0,1,8,4,8,4,8,149,84,0,0,0,1,86,0
0,0,1,8,5,8,4,8,149,84,1,1,0,1,86,0
0,0,1,9,0,8,4,8,149,80,0,0,0,1,88,0
0,0,1,9,1,8,4,8,149,80,1,0,0,1,88,0
0,0,1,9,2,8,4,8,148,80,1,0,2,1,89,0
0,0,1,9,3,8,4,8,149,80,W,0,0,1,90,0
0,0,1,9,4,8,4,8,147,80,1,0,3,2,90,0
0,0,1,9,5,8,4,8,148,80,0,0,2,2,91,0
0,0,1,10,0,8,4,8,147,85,1,0,3,2,91,0
0,0,1,10,1,8,4,8,148,85,1,0,2,2,92,0
0,0,1,10,2,8,4,8,147,85,0,0,3,2,93,0
0,0,1,10,3,8,4,8,147,85,0,0,3,2,93,0
0,0,1,10,4,8,4,8,147,85,1,0,3,2,93,0
0,0,1,10,5,8,4,8,148,85,4,0,2,2,94,0
0,0,1,11,0,8,4,8,147,86,1,0,3,2,98,0
0,0,1,11,1,8,4,8,148,86,0,0,2,2,99,0
0,0,1,11,2,8,4,8,148,86,0,0,2,2,99,0
0,0,1,11,3,8,4,8,148,86,4,0,2,2,99,0
0,0,1,11,4,8,4,8,148,86,0,1,2,2,103,0
0,0,1,11,5,8,4,8,148,86,2,0,2,2,104,0
0,0,1,12,0,8,4,8,147,89,1,0,3,2,106,0
0,0,1,12,1,8,4,8,148,89,2,0,2,2,107,0
0,0,1,12,2,8,4,8,148,89,6,0,2,2,109,0
0,0,1,12,3,8,4,8,148,89,0,0,2,2,115,0
0,0,1,12,4,8,4,8,148,89,1,1,2,2,115,0
0,0,1,12,5,8,4,8,147,89,0,0,3,2,117,0
0,0,1,13,0,8,4,8,148,84,1,0,2,2,117,0
0,0,1,13,1,8,4,8,147,84,1,0,3,2,118,0
0,0,1,13,2,8,4,8,148,84,1,0,2,2,119,0
0,0,1,13,3,8,4,8,147,84,1,0,3,2,120,0
0,0,1,13,4,8,4,8,148,84,1,0,2,2,121,0
0,0,1,13,5,8,4,8,147,84,1,0,3,2,122,0
0,0,1,14,0,8,4,8,147,80,1,0,3,2,123,0
0,0,1,14,1,8,4,8,148,80,1,0,2,2,124,0
0,0,1,14,2,8,4,8,147,80,2,0,3,2,125,0
0,0,1,14,3,8,4,8,147,80,2,0,3,2,127,0
0,0,1,14,4,8,4,8,147,80,1,0,3,2,129,0
0,0,1,14,5,8,4,8,148,80,0,0,2,2,130,0
0,0,1,15,0,8,4,8,147,85,0,0,3,2,130,0
0,0,1,15,1,8,4,8,147,85,1,0,3,2,130,0
0,0,1,15,2,8,4,8,148,85,1,0,2,2,131,0
0,0,1,15,3,8,4,8,147,85,W,0,3,2,132,0
0,0,1,15,4,8,4,8,144,85,1,0,4,3,132,0
0,0,1,15,5,8,4,8,148,85,0,0,2,3,133,0
0,0,1,16,0,8,4,8,144,86,0,0,4,3,133,0
0,0,1,16,1,8,4,8,144,86,1,0,4,3,133,0
