season,match,week,home,away,venue,toss_winner,batted_first,first_total,second_total,winner
0,0,0,3,1,3,3,1,193,195,3
0,1,0,2,4,2,2,4,135,141,2
0,2,0,9,0,9,0,9,166,134,9
0,3,0,2,5,2,2,5,106,109,2
0,4,0,5,4,5,4,5,196,184,5
0,5,0,3,9,3,9,3,144,145,9
0,6,0,7,9,7,9,7,177,169,7
0,7,0,5,3,5,3,5,224,148,5
0,8,0,5,8,5,8,5,183,187,8
0,9,0,6,4,6,6,4,158,110,4
0,10,0,1,2,1,2,1,197,100,1
0,11,0,9,4,9,9,4,150,143,4
0,12,1,6,8,6,8,6,172,161,6
0,13,1,9,8,9,9,8,258,218,8
0,14,1,0,2,0,2,0,157,153,0
0,15,1,1,5,1,1,5,244,244,1
0,16,1,6,3,6,6,3,152,155,6
0,17,1,8,6,8,8,6,258,188,6
0,18,1,6,2,6,6,2,175,180,6
0,19,1,4,3,4,3,4,169,131,4
0,20,1,7,5,7,5,7,185,148,7
0,21,1,3,4,3,3,4,146,150,3
0,22,1,1,6,1,1,6,184,185,1
0,23,1,9,3,9,3,9,175,176,3
0,24,2,9,5,9,5,9,257,262,5
0,25,2,5,9,5,5,9,130,119,9
0,26,2,9,6,9,6,9,195,196,6
0,27,2,2,9,2,2,9,221,224,2
0,28,2,1,7,1,1,7,171,172,1
0,29,2,3,6,3,6,3,169,174,6
0,30,2,2,0,2,0,2,180,181,0
0,31,2,8,1,8,1,8,230,232,1
0,32,2,3,7,3,7,3,225,157,3
0,33,2,0,6,0,6,0,206,197,0
0,34,2,3,5,3,3,5,158,159,3
0,35,2,4,7,4,4,7,158,150,7
0,36,3,7,0,7,0,7,153,154,0
0,37,3,8,7,8,7,8,207,208,7
0,38,3,1,8,1,8,1,228,221,1
0,39,3,5,1,5,5,1,173,156,1
0,40,3,2,8,2,8,2,184,143,2
0,41,3,8,5,8,8,5,172,173,8
0,42,3,1,3,1,3,1,150,154,3
0,43,3,8,3,8,8,3,184,186,8
0,44,3,1,9,1,9,1,275,245,1
0,45,3,6,9,6,6,9,206,209,6
0,46,3,5,6,5,6,5,139,142,6
0,47,3,5,7,5,5,7,211,166,7
0,48,4,7,8,7,7,8,216,183,8
0,49,4,6,0,6,6,0,177,154,0
0,50,4,6,7,6,7,6,189,137,6
0,51,4,0,8,0,8,0,168,169,8
0,52,4,7,3,7,3,7,186,163,7
0,53,4,7,6,7,6,7,215,185,7
0,54,4,3,8,3,3,8,194,184,8
0,55,4,5,0,5,5,0,194,182,0
0,56,4,0,1,0,0,1,177,177,1
0,57,4,0,7,0,0,7,184,179,7
0,58,4,1,0,1,0,1,142,143,0
0,59,4,6,1,6,1,6,169,167,6
0,60,5,2,3,2,2,3,221,226,2
0,61,5,9,7,9,7,9,304,164,9
0,62,5,2,6,2,6,2,146,130,2
0,63,5,6,5,6,5,6,137,139,5
0,64,5,7,4,7,4,7,204,198,7
0,65,5,9,1,9,1,9,193,165,9
0,66,5,2,7,2,7,2,203,195,2
0,67,5,3,2,3,2,3,168,169,2
0,68,5,0,3,0,0,3,165,166,0
0,69,5,2,1,2,1,2,289,152,2
0,70,5,8,0,8,8,0,181,165,0
0,71,5,3,0,3,0,3,163,166,0
0,72,6,5,2,5,2,5,231,222,5
0,73,6,8,4,8,4,8,193,179,8
0,74,6,4,6,4,6,4,157,158,6
0,75,6,4,2,4,2,4,171,164,4
0,76,6,8,9,8,9,8,186,175,8
0,77,6,9,2,9,9,2,135,137,9
0,78,6,4,0,4,0,4,180,110,4
0,79,6,1,4,1,1,4,191,173,4
0,80,6,8,2,8,8,2,207,207,8
0,81,6,0,4,0,4,0,165,120,0
0,82,6,4,8,4,4,8,172,175,4
0,83,6,4,5,4,4,5,183,172,5
0,84,7,0,5,0,0,5,160,145,5
0,85,7,7,2,7,7,2,189,161,2
0,86,7,0,9,0,0,9,175,176,0
0,87,7,4,9,4,9,4,194,144,4
0,88,7,7,1,7,7,1,201,202,7
0,89,7,4,1,4,1,4,210,200,4
1,90,0,2,5,2,2,5,203,184,5
1,91,0,1,3,1,3,1,283,216,1
1,92,0,9,8,9,8,9,197,193,9
1,93,0,9,6,9,6,9,225,225,9
1,94,0,3,6,3,3,6,166,150,6
1,95,0,7,2,7,7,2,253,183,2
1,96,0,0,9,0,0,9,236,241,0
1,97,0,7,1,7,7,1,205,208,7
1,98,0,7,6,7,7,6,132,135,7
1,99,0,1,8,1,1,8,146,147,1
1,100,0,3,5,3,3,5,182,186,3
1,101,0,5,0,5,5,0,223,165,0
1,102,1,1,2,1,2,1,195,139,1
1,103,1,9,5,9,5,9,229,224,9
1,104,1,8,1,8,1,8,190,193,1
1,105,1,8,3,8,8,3,176,177,8
